Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Horvat Bo,VAN,Player,18:02,0,0,0,0,0,0,4,2,2502,104
Ekman-Larsson Oliver,VAN,Player,20:26,0,2,2,1,0,0,0,6,2592,139
Couturier Sean,VAN,Player,17:46,0,1,0,0,0,0,3,1,493,181
Malkin Evgeni,VAN,Player,18:01,0,0,0,0,0,0,3,1,1703,502
Poolman Tucker,VAN,Player,17:09,0,0,0,-1,0,0,0,2,6203,574
Highmore Matthew,VAN,Player,11:52,0,1,0,0,0,0,3,0,1472,665
Stillman Riley,VAN,Player,18:56,0,0,0,0,0,0,0,2,4268,719
Bear Ethan,VAN,Player,18:40,0,0,0,0,0,0,1,6,5987,1188
Podkolzin Vasili,VAN,Player,20:01,1,0,0,0,0,0,3,1,5788,1577
Lazar Curtis,VAN,Player,08:14,1,0,0,1,0,1,2,1,2496,2115
Hoglander Nils,VAN,Player,05:56,0,0,0,0,0,0,0,2,6521,2178
Miller J.T.,VAN,Player,13:52,0,2,0,0,0,0,1,0,3233,2378
Kuzmenko Andrei,VAN,Player,16:35,0,0,0,0,0,0,1,0,2462,2782
Myers Tyler,VAN,Player,24:11,0,0,0,2,0,0,0,1,1127,2893
Schenn Luke,VAN,Player,22:10,0,0,0,1,0,0,0,4,237,3199
Connor Kyle,VAN,Player,15:20,2,0,0,0,0,0,6,1,5936,3847
Mikheyev Ilya,VAN,Player,15:39,0,0,0,-1,0,0,1,1,4751,3929
Boeser Brock,VAN,Player,12:12,0,1,0,1,0,0,0,1,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,1,0,-,3,0,20,-,5939,4241
Provorov Ivan,PHI,Player,23:49,0,0,0,-1,0,0,1,3,2543,183
Cates Noah,PHI,Player,17:28,0,1,0,1,0,0,0,0,6625,338
Ellis Ryan,PHI,Player,21:52,0,0,0,-2,0,0,1,2,3247,350
Konecny Travis,PHI,Player,18:14,0,0,0,-2,0,0,3,1,6068,391
Garland Conor,PHI,Player,13:53,0,0,0,-1,0,0,2,3,2704,520
DeAngelo Anthony,PHI,Player,21:38,0,0,0,-2,0,0,0,0,5961,573
Sedlak Lukas,PHI,Player,13:21,1,1,0,1,0,0,1,2,6073,610
Simmonds Wayne,PHI,Player,10:56,0,0,0,0,0,0,1,0,"",1200
Seeler Nick,PHI,Player,10:28,0,1,0,2,0,0,0,0,3217,1375
Laughton Scott,PHI,Player,16:02,1,0,0,0,0,0,4,2,1055,2075
Tippett Owen,PHI,Player,13:07,0,0,0,1,0,0,0,2,6528,2215
Roslovic Jack,PHI,Player,15:52,0,0,0,-1,0,0,1,2,"",2225
Bunting Michael,PHI,Player,16:04,0,0,0,-1,0,0,0,0,"",2463
MacEwen Zack,PHI,Player,13:23,1,1,0,1,0,0,1,0,3423,2577
Van Riemsdyk James,PHI,Player,12:37,0,1,0,0,0,0,1,2,2752,3033
Ristolainen Rasmus,PHI,Player,18:37,0,1,0,1,0,0,0,6,3837,3376
Hayes Kevin,PHI,Player,19:06,0,0,0,-2,0,0,3,0,1293,3645
Sanheim Travis,PHI,Player,23:36,0,0,0,0,0,0,1,5,6196,4546
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,59:57,-,0,0,-,4,0,28,-,"",2479
