Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,20:13,1,2,0,3,0,0,4,1,623,83
Horvat Bo,VAN,Player,17:41,1,1,0,1,0,0,10,1,2502,104
Ekman-Larsson Oliver,VAN,Player,16:42,0,1,0,1,0,0,0,4,2592,139
Garland Conor,VAN,Player,08:18,0,1,0,-2,0,0,1,0,2704,520
Poolman Tucker,VAN,Player,25:37,0,1,0,1,0,0,0,5,6203,574
Highmore Matthew,VAN,Player,20:13,0,2,0,3,0,0,1,2,1472,665
Stillman Riley,VAN,Player,25:37,0,0,0,1,0,0,1,6,4268,719
Hughes Quinton,VAN,Player,16:42,0,1,0,1,0,0,1,3,1188,1210
Podkolzin Vasili,VAN,Player,17:41,0,2,0,1,0,0,1,1,5788,1577
Lazar Curtis,VAN,Player,08:18,0,1,0,-2,0,0,2,1,2496,2115
Miller J.T.,VAN,Player,13:48,1,0,0,1,0,0,6,1,3233,2378
Pettersson Elias,VAN,Player,13:48,1,0,0,1,0,0,2,0,6254,2525
Kuzmenko Andrei,VAN,Player,17:41,1,1,0,1,0,0,5,0,2462,2782
Myers Tyler,VAN,Player,17:41,0,0,0,1,0,0,0,3,1127,2893
Schenn Luke,VAN,Player,17:41,0,0,0,1,0,0,0,3,237,3199
Pearson Tanner,VAN,Player,08:18,1,0,0,-2,0,0,1,2,3944,3524
Mikheyev Ilya,VAN,Player,20:13,2,1,0,3,0,0,10,1,4751,3929
Boeser Brock,VAN,Player,13:48,0,1,0,1,0,0,1,0,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,5,0,27,-,5939,4241
Carter Jeff,PIT,Player,15:25,3,0,0,1,0,0,5,0,3297,474
Letang Kris,PIT,Player,25:00,0,0,0,-3,0,0,0,2,1716,501
Malkin Evgeni,PIT,Player,21:15,0,0,0,-1,0,0,0,0,1703,502
Crosby Sidney,PIT,Player,21:57,0,0,0,-1,0,0,3,2,3308,518
Rakell Rickard,PIT,Player,13:39,1,2,0,2,0,0,4,0,1276,526
Joseph Pierre-Olivier,PIT,Player,18:34,0,1,0,-1,0,0,0,1,6623,678
Caggiula Drake,PIT,Player,11:02,0,0,0,-3,0,0,2,0,6074,704
Dumoulin Brian,PIT,Player,17:26,0,0,0,1,0,0,0,1,2750,749
Rust Bryan,PIT,Player,15:47,0,1,0,1,0,0,3,2,431,1005
Heinen Danton,PIT,Player,11:18,0,0,0,0,0,0,1,1,6080,1100
Petry Jeff,PIT,Player,25:02,0,1,0,-3,0,0,0,4,1116,1433
Pettersson Marcus,PIT,Player,16:26,0,0,0,1,0,0,0,0,3150,1594
Ruhwedel Chad,PIT,Player,17:32,0,0,0,-1,0,0,0,1,3964,2182
Zucker Jason,PIT,Player,11:49,0,0,0,0,0,0,2,1,2630,3042
Boyle Brian,PIT,Player,11:20,1,0,0,0,0,0,4,0,3830,4222
Guentzel Jake,PIT,Player,23:30,0,0,0,-2,0,0,2,1,6111,4331
Kapanen Kasperi,PIT,Player,11:40,0,0,0,-3,0,0,1,0,991,4360
Blugers Teodors,PIT,Player,11:18,0,0,0,-3,0,0,0,1,341,4454
Jarry Tristan,PIT,Goalie,60:00,-,2,0,-,8,0,46,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
