Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,15:46,0,1,0,1,0,0,0,0,623,83
Horvat Bo,VAN,Player,18:44,0,1,0,0,0,0,0,1,2502,104
Ekman-Larsson Oliver,VAN,Player,23:21,0,0,0,3,0,0,0,1,2592,139
Garland Conor,VAN,Player,16:38,1,0,0,-1,0,0,3,1,2704,520
Poolman Tucker,VAN,Player,18:25,0,0,0,-1,0,0,0,3,6203,574
Highmore Matthew,VAN,Player,15:46,0,1,0,1,0,0,2,2,1472,665
Stillman Riley,VAN,Player,25:18,0,1,0,-1,0,0,0,2,4268,719
Hughes Quinton,VAN,Player,23:21,0,1,0,3,0,0,2,8,1188,1210
Podkolzin Vasili,VAN,Player,14:34,0,0,0,-1,0,0,0,0,5788,1577
Lazar Curtis,VAN,Player,13:02,0,0,0,-2,0,0,2,1,2496,2115
Miller J.T.,VAN,Player,13:50,0,1,2,2,0,0,0,1,3233,2378
Pettersson Elias,VAN,Player,12:28,0,1,0,2,0,0,0,1,6254,2525
Kuzmenko Andrei,VAN,Player,11:21,0,0,0,-1,0,0,2,1,2462,2782
Myers Tyler,VAN,Player,18:14,0,0,0,-1,0,0,0,1,1127,2893
Schenn Luke,VAN,Player,11:21,0,0,0,-1,0,0,0,1,237,3199
Pearson Tanner,VAN,Player,13:21,0,0,0,-1,0,0,0,0,3944,3524
Mikheyev Ilya,VAN,Player,15:46,1,0,0,1,0,0,4,0,4751,3929
Boeser Brock,VAN,Player,13:44,2,0,0,2,0,0,4,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,3,0,13,-,5939,4241
Karlsson Erik,SJ,Player,23:25,0,0,0,-3,0,0,0,4,4017,120
Simek Radim,SJ,Player,12:18,0,1,0,2,0,0,0,1,4584,142
Vlasic Marc-Edouard,SJ,Player,21:23,0,0,0,0,0,0,0,8,1790,545
Ferraro Mario,SJ,Player,29:12,0,0,0,-2,0,0,0,8,2422,937
Gregor Noah,SJ,Player,05:51,0,1,0,0,0,0,1,2,5027,941
Lindblom Oskar,SJ,Player,21:30,0,1,0,1,0,0,0,2,1217,1379
Sturm Nico,SJ,Player,06:43,1,0,0,0,0,0,1,0,3343,2110
Knyzhov Nikolai,SJ,Player,17:11,0,0,0,1,0,0,0,4,6517,2148
Barabanov Alexander,SJ,Player,15:30,0,0,0,-3,0,0,1,0,3181,2162
Lorentz Steven,SJ,Player,13:42,0,0,0,0,0,0,0,0,6523,2198
Dahlen Jonathan,SJ,Player,16:51,1,0,0,1,0,0,1,0,6591,2447
Weatherby Jasper,SJ,Player,07:20,1,1,0,1,0,0,1,0,6592,2451
Bonino Nick,SJ,Player,14:06,0,1,0,1,0,0,1,1,563,2862
Hertl Tomas,SJ,Player,19:53,0,0,0,-3,0,0,2,2,2290,2913
Couture Logan,SJ,Player,16:39,0,0,0,1,0,0,1,1,4370,3039
Benning Matt,SJ,Player,17:58,0,0,2,0,0,0,0,5,6097,4305
Meier Timo,SJ,Player,18:44,0,0,0,-3,0,0,1,3,6112,4332
Kunin Luke,SJ,Player,17:05,0,1,0,1,0,0,3,4,735,4448
Reimer James,SJ,Goalie,59:40,-,0,0,-,4,0,19,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
