Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Horvat Bo,VAN,Player,14:14,1,1,0,2,0,0,3,0,2502,104
Ekman-Larsson Oliver,VAN,Player,17:58,0,0,0,1,0,0,0,4,2592,139
Garland Conor,VAN,Player,13:31,0,0,0,0,0,0,2,1,2704,520
Poolman Tucker,VAN,Player,20:59,0,0,0,1,0,0,1,4,6203,574
Highmore Matthew,VAN,Player,10:39,0,1,0,1,0,0,1,1,1472,665
Stillman Riley,VAN,Player,27:52,0,1,2,2,0,0,0,8,4268,719
Bear Ethan,VAN,Player,11:01,0,0,2,2,0,0,0,2,5987,1188
Hughes Quinton,VAN,Player,13:13,0,2,0,2,0,0,2,1,1188,1210
Podkolzin Vasili,VAN,Player,15:37,0,1,0,1,0,0,0,2,5788,1577
Lazar Curtis,VAN,Player,22:15,0,0,0,0,0,0,1,1,2496,2115
Miller J.T.,VAN,Player,18:41,2,0,0,2,0,0,4,0,3233,2378
Pettersson Elias,VAN,Player,10:43,0,2,0,2,0,0,1,2,6254,2525
Kuzmenko Andrei,VAN,Player,14:13,1,1,0,2,0,0,2,2,2462,2782
Myers Tyler,VAN,Player,20:38,0,0,0,2,0,0,0,7,1127,2893
Schenn Luke,VAN,Player,23:24,0,0,0,2,0,0,0,4,237,3199
Pearson Tanner,VAN,Player,13:49,0,0,0,0,0,0,1,5,3944,3524
Mikheyev Ilya,VAN,Player,13:38,1,0,0,1,0,0,3,1,4751,3929
Boeser Brock,VAN,Player,10:45,0,1,0,2,0,0,0,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,1,0,21,-,5939,4241
Bozak Tyler,STL,Player,10:33,0,0,0,-2,0,0,1,0,2255,571
Barbashyov Ivan,STL,Player,14:15,0,0,0,-1,0,0,2,2,3871,986
Buchnevich Pavel,STL,Player,16:55,0,0,0,-2,0,0,1,0,226,1067
Saad Brandon,STL,Player,18:12,0,0,0,-1,0,0,0,1,1737,1234
Thomas Robert,STL,Player,16:52,0,0,0,-1,0,0,2,2,3452,1332
Acciari Noel,STL,Player,08:35,0,0,0,-1,0,0,1,0,2639,1973
Bortuzzo Robert,STL,Player,19:57,0,0,0,-3,0,0,0,1,4409,2134
Mikkola Niko,STL,Player,18:12,0,0,0,-1,0,0,0,5,1141,2155
Parayko Colton,STL,Player,13:23,0,0,0,-1,0,0,0,3,4669,2158
Pitlick Rem,STL,Player,14:31,0,0,0,0,0,0,3,0,6566,2343
O'Reilly Ryan,STL,Player,22:15,0,0,0,-2,0,0,3,0,3062,2382
Perunovich Scott,STL,Player,22:33,0,0,0,-2,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,21:11,0,0,0,-1,0,0,1,0,6208,2446
Krug Torey,STL,Player,20:02,0,0,0,-1,0,0,0,4,3615,2521
Schenn Brayden,STL,Player,13:00,1,0,0,-1,1,0,2,1,4131,3265
Leivo Josh,STL,Player,10:41,0,0,0,-2,0,0,2,0,2541,3307
Faulk Justin,STL,Player,25:53,0,0,0,-2,0,0,0,4,3744,3400
Tarasenko Vladimir,STL,Player,13:19,0,0,0,-1,0,0,3,1,2695,4349
Binnington Jordan,STL,Goalie,59:41,-,0,0,-,5,0,21,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
