Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,08:57,0,0,0,0,0,0,1,1,623,83
Horvat Bo,VAN,Player,22:54,2,1,0,3,0,0,5,0,2502,104
Ekman-Larsson Oliver,VAN,Player,19:42,0,0,0,-1,0,0,0,3,2592,139
Garland Conor,VAN,Player,10:13,1,0,0,0,0,0,1,0,2704,520
Poolman Tucker,VAN,Player,18:24,0,1,0,0,0,0,0,5,6203,574
Highmore Matthew,VAN,Player,10:03,0,0,0,0,0,0,0,1,1472,665
Stillman Riley,VAN,Player,22:49,0,0,0,0,0,0,0,4,4268,719
Hughes Quinton,VAN,Player,19:03,0,0,0,-1,0,0,0,5,1188,1210
Podkolzin Vasili,VAN,Player,22:54,1,1,0,3,0,0,4,4,5788,1577
Lazar Curtis,VAN,Player,10:25,0,1,0,0,0,0,0,0,2496,2115
Miller J.T.,VAN,Player,16:50,0,0,2,-1,0,0,1,2,3233,2378
Pettersson Elias,VAN,Player,18:22,0,0,0,-1,0,0,1,1,6254,2525
Kuzmenko Andrei,VAN,Player,18:24,0,2,0,3,0,0,0,1,2462,2782
Myers Tyler,VAN,Player,22:21,0,0,0,3,0,0,0,6,1127,2893
Schenn Luke,VAN,Player,17:41,0,0,0,3,0,0,0,0,237,3199
Pearson Tanner,VAN,Player,10:13,0,0,0,0,0,0,1,0,3944,3524
Mikheyev Ilya,VAN,Player,08:34,0,0,0,0,0,0,3,1,4751,3929
Boeser Brock,VAN,Player,17:44,0,0,0,-1,0,0,2,3,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,3,0,12,-,5939,4241
Larsson Adam,SYR,Player,20:38,1,0,0,1,0,0,1,3,1173,75
Eberle Jordan,SYR,Player,17:38,1,1,0,1,0,0,2,2,4475,229
Wennberg Alexander,SYR,Player,11:13,0,0,0,-2,0,0,0,0,2515,302
Beniers Matty,SYR,Player,16:37,0,1,0,0,0,0,3,3,6617,430
Kuhlman Karson,SYR,Player,12:51,0,0,0,-1,0,0,2,0,4123,564
Fleury Cale,SYR,Player,11:32,0,0,0,-3,0,0,0,4,2328,760
Tanev  Brandon,SYR,Player,14:31,0,1,0,1,0,0,0,3,6076,851
Burakovsky Andre,SYR,Player,21:13,0,0,0,0,0,0,1,2,2514,1343
Donato Ryan,SYR,Player,15:10,0,0,0,0,0,0,0,1,4120,2119
Soucy Carson,SYR,Player,26:25,0,0,0,0,0,0,0,3,1272,2122
Schwartz Jaden,SYR,Player,16:12,0,1,0,0,0,0,0,0,4358,2157
Schultz Justin,SYR,Player,11:25,0,0,0,-2,0,0,0,2,1225,2180
Oleksiak Jamie,SYR,Player,27:50,0,0,0,0,0,0,0,3,1830,2316
Bjorkstrand Oliver,SYR,Player,11:14,0,0,0,-2,0,0,0,0,2321,3595
Donskoi Joonas,SYR,Player,15:08,0,0,0,-1,0,0,0,1,5758,3849
McCann Jared,SYR,Player,16:40,0,0,0,0,0,0,1,2,5577,4024
Gourde Yanni,SYR,Player,11:33,1,1,0,-2,1,0,1,2,5000,4126
Dunn Vince,SYR,Player,22:10,0,0,0,0,0,0,1,2,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,4,0,19,-,4348,2437
