Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ferland Michael,VAN,Player,16:11,0,0,0,0,0,0,1,0,623,83
Horvat Bo,VAN,Player,15:51,0,2,0,0,0,0,2,0,2502,104
Ekman-Larsson Oliver,VAN,Player,23:25,0,0,0,-1,0,0,1,4,2592,139
Couturier Sean,VAN,Player,15:31,0,1,0,2,0,0,3,1,493,181
Malkin Evgeni,VAN,Player,16:22,2,0,0,0,0,0,6,0,1703,502
Poolman Tucker,VAN,Player,19:55,0,0,0,2,0,0,1,0,6203,574
Stillman Riley,VAN,Player,14:33,0,1,0,1,0,0,0,3,4268,719
Lecavalier Vincent,VAN,Player,16:18,0,0,0,0,0,0,0,2,1180,751
Bear Ethan,VAN,Player,20:24,0,1,0,2,0,0,0,7,5987,1188
Podkolzin Vasili,VAN,Player,14:53,1,1,0,2,0,0,4,0,5788,1577
Miller J.T.,VAN,Player,12:20,0,0,0,0,0,0,0,2,3233,2378
Kuzmenko Andrei,VAN,Player,16:02,0,1,0,1,0,0,2,1,2462,2782
Myers Tyler,VAN,Player,16:40,0,0,0,1,0,0,0,0,1127,2893
Schenn Luke,VAN,Player,25:03,0,0,0,-1,0,0,1,2,237,3199
Pearson Tanner,VAN,Player,13:58,1,1,0,2,0,0,1,1,3944,3524
Connor Kyle,VAN,Player,12:25,1,0,0,0,0,0,1,0,5936,3847
Mikheyev Ilya,VAN,Player,17:35,0,0,0,-1,0,0,2,4,4751,3929
Boeser Brock,VAN,Player,12:34,0,0,0,0,0,0,0,1,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,3,0,11,-,5939,4241
Kessel Phil,WOF,Player,18:23,1,0,0,-1,0,0,1,0,534,45
McNabb Brayden,WOF,Player,25:44,0,1,0,0,0,0,0,6,1752,369
Amadio Michael,WOF,Player,08:50,0,0,0,0,0,0,0,0,3947,736
Howden Brett,WOF,Player,17:26,0,0,0,-1,0,0,0,2,2471,867
Carrier William,WOF,Player,15:29,1,1,0,0,0,0,3,2,6095,930
Hague Nicolas,WOF,Player,16:04,0,0,0,-1,0,0,0,2,5488,961
Smith Reilly,WOF,Player,14:13,0,1,0,-1,0,0,0,0,3007,2049
Coghlan Dylan,WOF,Player,18:12,0,0,0,-1,0,0,0,3,6538,2256
Marchessault Jonathan,WOF,Player,18:15,0,0,0,-1,0,0,3,3,3137,2310
Martinez Alec,WOF,Player,19:56,0,0,0,0,0,0,0,3,4236,2365
Stone Mark,WOF,Player,15:46,0,0,0,-1,0,0,1,2,2036,2389
Roy Nicolas,WOF,Player,18:43,0,0,0,-1,0,0,0,2,1223,2651
Eichel Jack,WOF,Player,16:22,0,1,0,-1,0,0,1,1,3513,3151
Karlsson William,WOF,Player,15:23,1,0,0,0,0,0,1,1,4720,3501
Theodore Shea,WOF,Player,17:15,0,0,0,0,0,0,0,5,1674,3810
Pietrangelo Alex,WOF,Player,22:49,0,0,0,-2,0,0,0,3,2185,4012
Stephenson Chandler,WOF,Player,09:32,0,0,0,0,0,0,0,0,4995,4026
Kolesar Keegan,WOF,Player,11:38,0,1,0,1,0,0,1,1,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,5,0,25,-,2708,3541
