Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kessel Phil,WOF,Player,15:30,0,0,0,-2,0,0,0,1,534,45
McNabb Brayden,WOF,Player,15:34,0,0,0,-2,0,0,0,0,1752,369
Amadio Michael,WOF,Player,15:19,0,0,0,-1,0,0,0,3,3947,736
Howden Brett,WOF,Player,12:18,0,0,0,-4,0,0,0,2,2471,867
Carrier William,WOF,Player,10:09,0,0,0,-2,0,0,1,1,6095,930
Hague Nicolas,WOF,Player,16:09,0,0,0,-2,0,0,0,1,5488,961
Smith Reilly,WOF,Player,16:28,0,0,0,-2,0,0,0,1,3007,2049
Coghlan Dylan,WOF,Player,18:08,0,0,0,-5,0,0,0,5,6538,2256
Marchessault Jonathan,WOF,Player,18:55,0,0,0,-1,0,0,0,4,3137,2310
Martinez Alec,WOF,Player,22:07,0,0,0,-5,0,0,0,5,4236,2365
Stone Mark,WOF,Player,16:06,0,0,0,-4,0,0,1,2,2036,2389
Roy Nicolas,WOF,Player,11:00,0,0,0,-4,0,0,1,0,1223,2651
Eichel Jack,WOF,Player,18:55,0,0,0,-1,0,0,2,1,3513,3151
Karlsson William,WOF,Player,13:06,0,0,0,-3,0,0,2,1,4720,3501
Theodore Shea,WOF,Player,26:10,0,0,0,-2,0,0,0,1,1674,3810
Pietrangelo Alex,WOF,Player,21:52,0,0,0,-2,0,0,1,4,2185,4012
Stephenson Chandler,WOF,Player,17:32,0,0,0,-1,0,0,1,2,4995,4026
Kolesar Keegan,WOF,Player,15:15,0,0,0,-2,0,0,1,0,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,59:27,-,0,0,-,9,0,39,-,2708,3541
Forsling Gustav,FLA,Player,19:12,0,0,0,1,0,0,0,5,4628,3
Staal Eric,FLA,Player,11:52,0,1,0,5,0,0,1,0,1882,121
Reinhart Sam,FLA,Player,17:58,0,1,0,1,0,0,4,1,2477,379
Bennett Sam,FLA,Player,21:21,0,1,0,1,0,0,5,1,2478,393
Rasmussen Michael,FLA,Player,10:11,0,0,0,2,0,0,2,0,6556,399
Staal Marc,FLA,Player,21:02,1,1,0,7,0,0,2,4,5158,433
Barkov Aleksander,FLA,Player,18:26,0,1,2,1,0,0,4,2,1405,699
Lundell Anton,FLA,Player,12:42,2,2,0,5,0,0,6,0,6572,848
Ekblad Aaron,FLA,Player,18:47,0,0,2,2,0,0,0,5,2485,1106
Luostarinen Eetu,FLA,Player,10:11,2,0,0,2,0,0,4,0,2136,1245
Hornqvist Patric,FLA,Player,11:04,2,0,0,5,0,0,4,0,3077,1411
Montour Brandon,FLA,Player,21:01,0,0,0,0,0,0,1,4,6124,2226
Tkachuk Matthew,FLA,Player,20:47,1,0,0,1,0,0,3,3,5951,2362
Duclair Anthony,FLA,Player,12:46,1,0,0,1,0,0,3,2,2495,2393
Gudas Radko,FLA,Player,19:46,0,0,0,1,0,0,0,7,3632,2409
Verhaeghe Carter,FLA,Player,14:59,0,1,0,1,0,0,0,1,1035,2641
Mahura Josh,FLA,Player,20:29,0,0,0,7,0,0,0,7,466,2667
Cousins Nick,FLA,Player,10:18,0,2,0,2,0,0,0,0,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,1,0,-,0,0,10,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
