Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kessel Phil,WOF,Player,15:14,0,1,0,1,0,0,1,0,534,45
McNabb Brayden,WOF,Player,19:58,1,0,0,-2,1,0,2,0,1752,369
Howden Brett,WOF,Player,16:47,0,0,0,-3,0,0,2,1,2471,867
Carrier William,WOF,Player,15:54,0,1,0,-2,0,0,0,0,6095,930
Hague Nicolas,WOF,Player,19:50,0,0,0,-3,0,0,0,2,5488,961
Hutton Ben,WOF,Player,19:52,0,0,0,-3,0,0,0,1,6562,1631
Smith Reilly,WOF,Player,17:56,0,0,0,-2,0,0,3,1,3007,2049
Marchessault Jonathan,WOF,Player,14:38,1,0,0,1,0,0,2,0,3137,2310
Martinez Alec,WOF,Player,20:10,0,0,0,-2,0,0,1,1,4236,2365
Stone Mark,WOF,Player,16:57,0,1,0,-3,0,0,4,0,2036,2389
Roy Nicolas,WOF,Player,16:22,0,0,0,-3,0,0,2,1,1223,2651
Eichel Jack,WOF,Player,15:44,0,2,0,1,0,0,2,0,3513,3151
Karlsson William,WOF,Player,16:19,0,0,0,-2,0,0,2,0,4720,3501
Theodore Shea,WOF,Player,19:58,1,0,0,0,0,0,2,0,1674,3810
Pietrangelo Alex,WOF,Player,20:12,0,0,0,0,0,0,0,0,2185,4012
Stephenson Chandler,WOF,Player,12:01,0,0,0,-1,0,0,0,0,4995,4026
Patrick  Nolan,WOF,Player,12:41,0,0,0,-1,0,0,1,0,6161,4408
Kolesar Keegan,WOF,Player,09:53,0,0,0,-1,0,0,0,0,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,59:34,-,0,0,-,7,0,26,-,2708,3541
Iafallo Alex,LA,Player,12:52,0,1,0,1,0,0,0,1,6121,58
Durzi Sean,LA,Player,16:17,0,1,0,2,0,0,0,0,6611,82
Doughty Drew,LA,Player,22:31,0,0,0,1,0,0,0,4,216,294
Kopitar Anze,LA,Player,18:47,1,0,0,0,0,0,5,0,2287,298
Lemieux Brendan,LA,Player,13:32,1,0,0,1,0,0,3,3,1391,443
Edler Alexander,LA,Player,23:06,0,0,0,1,0,0,0,4,3842,611
Roy Matt,LA,Player,20:24,0,2,0,2,0,0,0,4,4118,728
Moore Trevor,LA,Player,15:30,3,0,0,2,0,0,4,0,3034,732
Fiala Kevin,LA,Player,17:30,0,0,2,0,0,0,2,3,2511,803
Lizotte Blake,LA,Player,11:00,0,0,0,2,0,0,2,2,1333,1149
Anderson Mikey,LA,Player,20:15,0,0,0,1,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,17:42,0,1,0,0,0,0,4,1,6129,2020
Bjornfot Tobias,LA,Player,17:27,0,1,0,3,0,0,0,3,6530,2222
Kaliyev Arthur,LA,Player,12:23,1,0,0,1,0,0,1,0,6567,2354
Kupari Rasmus,LA,Player,15:00,0,1,0,2,0,0,0,2,6581,2405
Byfield Quinton,LA,Player,11:12,0,0,0,2,0,0,2,1,6582,2406
Arvidsson Viktor,LA,Player,15:54,1,0,0,3,0,0,1,1,4310,4040
Danault Phillip,LA,Player,15:13,0,1,0,1,0,0,2,2,5218,4101
Petersen Cal,LA,Goalie,60:00,-,2,0,-,3,0,24,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
