Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kessel Phil,WOF,Player,18:38,0,1,0,1,0,0,2,3,534,45
McNabb Brayden,WOF,Player,21:40,0,0,0,0,0,0,0,2,1752,369
Amadio Michael,WOF,Player,14:30,0,1,0,0,0,0,5,0,3947,736
Howden Brett,WOF,Player,14:33,0,1,0,3,0,0,0,0,2471,867
Carrier William,WOF,Player,13:41,1,0,0,2,0,0,2,0,6095,930
Hague Nicolas,WOF,Player,18:37,0,1,0,2,0,0,0,3,5488,961
Smith Reilly,WOF,Player,12:24,1,1,0,2,0,0,4,2,3007,2049
Coghlan Dylan,WOF,Player,19:43,0,1,0,4,0,0,0,4,6538,2256
Marchessault Jonathan,WOF,Player,17:16,1,0,0,1,0,0,1,0,3137,2310
Martinez Alec,WOF,Player,17:36,0,2,0,4,0,0,0,1,4236,2365
Stone Mark,WOF,Player,15:28,1,0,0,3,0,0,2,3,2036,2389
Roy Nicolas,WOF,Player,14:50,1,1,0,2,0,0,2,1,1223,2651
Eichel Jack,WOF,Player,18:06,0,1,0,1,0,0,3,1,3513,3151
Karlsson William,WOF,Player,13:52,1,1,0,3,0,0,1,3,4720,3501
Theodore Shea,WOF,Player,19:46,0,2,0,2,0,0,0,0,1674,3810
Pietrangelo Alex,WOF,Player,22:38,0,0,0,0,0,0,1,2,2185,4012
Stephenson Chandler,WOF,Player,13:12,1,0,0,0,0,0,5,1,4995,4026
Kolesar Keegan,WOF,Player,13:30,0,1,0,0,0,0,1,0,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,1,0,27,-,2708,3541
Skinner Jeff,OTT,Player,25:53,0,0,0,-1,0,0,3,4,2848,77
Chabot Thomas,OTT,Player,24:06,0,0,0,-1,0,0,0,5,6067,343
Sanderson Jake,OTT,Player,21:08,0,0,0,-3,0,0,0,5,6626,478
Gambrell Dylan,OTT,Player,09:18,0,0,0,-1,0,0,0,2,3010,697
Atkinson Cam,OTT,Player,16:13,1,0,0,-1,0,0,2,0,3496,733
Kolesnikov Konstantin,OTT,Player,12:57,0,0,0,-3,0,0,4,0,4171,752
Formenton Alex,OTT,Player,11:24,0,0,0,-3,0,0,2,1,5078,965
Joseph Mathieu,OTT,Player,06:38,0,0,0,-1,0,0,0,0,6178,1208
Zub Artyom,OTT,Player,14:46,0,0,0,-2,0,0,0,3,5298,2138
Norris Josh,OTT,Player,14:32,0,0,0,-1,0,0,2,0,6533,2238
Stutzle Tim,OTT,Player,14:14,0,1,0,-1,0,0,3,1,6534,2242
Holden Nick,OTT,Player,14:38,0,0,0,-2,0,0,0,2,4405,2309
Pinto Shane,OTT,Player,12:13,0,0,0,-3,0,0,2,2,6587,2421
Zaitsev Nikita,OTT,Player,24:14,0,0,0,-1,0,0,0,9,2746,2442
Stamkos Steven,OTT,Player,24:15,0,0,0,-1,0,0,4,5,240,3254
Hamonic Travis,OTT,Player,21:08,0,0,0,-3,0,0,1,1,5797,3535
DeBrincat Alex,OTT,Player,25:32,0,0,0,-1,0,0,4,1,331,3711
Motte Tyler,OTT,Player,06:51,0,0,0,-1,0,0,0,0,5938,3850
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,7,0,29,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
