Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kessel Phil,WOF,Player,15:57,0,1,0,-1,0,0,0,1,534,45
McNabb Brayden,WOF,Player,16:10,0,1,0,-1,0,0,0,1,1752,369
Amadio Michael,WOF,Player,14:29,0,0,0,-2,0,0,0,0,3947,736
Howden Brett,WOF,Player,08:47,0,1,0,1,0,0,0,0,2471,867
Carrier William,WOF,Player,20:26,0,0,0,-1,0,0,0,2,6095,930
Hague Nicolas,WOF,Player,23:32,0,0,0,-3,0,0,0,4,5488,961
Smith Reilly,WOF,Player,17:47,0,0,0,-1,0,0,0,3,3007,2049
Coghlan Dylan,WOF,Player,20:18,0,1,0,1,0,0,0,4,6538,2256
Marchessault Jonathan,WOF,Player,16:18,0,0,0,-1,0,0,3,0,3137,2310
Martinez Alec,WOF,Player,22:15,0,1,0,-1,0,0,0,3,4236,2365
Stone Mark,WOF,Player,09:39,1,1,0,2,0,0,3,1,2036,2389
Roy Nicolas,WOF,Player,11:14,1,0,0,0,0,0,2,1,1223,2651
Eichel Jack,WOF,Player,14:57,1,0,0,-1,0,0,1,0,3513,3151
Karlsson William,WOF,Player,18:50,0,0,0,0,0,0,0,0,4720,3501
Theodore Shea,WOF,Player,21:52,0,0,0,-1,0,0,0,5,1674,3810
Pietrangelo Alex,WOF,Player,15:53,0,0,0,-1,0,0,0,2,2185,4012
Stephenson Chandler,WOF,Player,14:59,0,0,0,-2,0,0,0,1,4995,4026
Kolesar Keegan,WOF,Player,16:37,0,0,0,-3,0,0,0,3,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,6,0,30,-,2708,3541
Nyquist Gustav,STL,Player,16:16,1,0,0,0,0,0,2,1,3158,16
Leddy Nick,STL,Player,19:57,0,0,0,1,0,0,0,6,4412,136
Johnson Kent,STL,Player,06:55,0,0,0,-1,0,0,0,1,6608,159
Bozak Tyler,STL,Player,05:37,0,0,0,-1,0,0,0,0,2255,571
Buchnevich Pavel,STL,Player,19:54,2,0,0,0,0,0,3,1,226,1067
Saad Brandon,STL,Player,16:54,2,1,0,3,0,0,5,0,1737,1234
Thomas Robert,STL,Player,15:57,0,1,0,1,0,0,3,0,3452,1332
Bortuzzo Robert,STL,Player,17:07,0,0,0,2,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,20:17,0,1,0,0,0,0,0,5,1141,2155
Parayko Colton,STL,Player,22:36,0,0,0,1,0,0,0,2,4669,2158
Pitlick Rem,STL,Player,14:54,0,1,0,0,0,0,2,0,6566,2343
Kaliyev Arthur,STL,Player,07:08,0,0,0,-1,0,0,1,0,6567,2354
O'Reilly Ryan,STL,Player,18:39,1,2,0,3,0,0,4,1,3062,2382
Krug Torey,STL,Player,21:15,0,0,0,1,0,0,0,2,3615,2521
Faulk Justin,STL,Player,18:48,0,1,0,1,0,0,0,1,3744,3400
Danault Phillip,STL,Player,20:50,0,2,0,1,0,0,4,2,5218,4101
Vrana Jakub,STL,Player,19:55,0,0,0,1,0,0,4,1,6115,4338
Tarasenko Vladimir,STL,Player,17:01,0,2,0,3,0,0,2,2,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,3,0,9,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
