Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kessel Phil,WOF,Player,18:28,0,1,0,0,0,0,0,1,534,45
McNabb Brayden,WOF,Player,18:34,0,0,0,0,0,0,0,2,1752,369
Amadio Michael,WOF,Player,09:52,0,0,0,0,0,0,1,0,3947,736
Howden Brett,WOF,Player,17:39,0,0,0,-2,0,0,1,2,2471,867
Carrier William,WOF,Player,13:06,1,0,0,-1,0,0,4,0,6095,930
Hague Nicolas,WOF,Player,14:33,0,1,0,-1,0,0,0,2,5488,961
Smith Reilly,WOF,Player,17:19,0,1,0,-1,0,0,1,1,3007,2049
Coghlan Dylan,WOF,Player,21:29,0,0,0,-2,0,0,0,2,6538,2256
Marchessault Jonathan,WOF,Player,18:43,1,0,0,-1,0,0,1,2,3137,2310
Martinez Alec,WOF,Player,21:16,0,0,0,-2,0,0,0,4,4236,2365
Stone Mark,WOF,Player,14:01,0,0,0,-2,0,0,1,0,2036,2389
Roy Nicolas,WOF,Player,13:40,0,0,0,-2,0,0,1,2,1223,2651
Eichel Jack,WOF,Player,21:27,0,1,0,-1,0,0,1,2,3513,3151
Karlsson William,WOF,Player,13:32,0,0,0,-1,0,0,0,1,4720,3501
Theodore Shea,WOF,Player,21:03,0,0,0,-2,0,0,2,5,1674,3810
Pietrangelo Alex,WOF,Player,23:05,0,0,0,-1,0,0,0,3,2185,4012
Stephenson Chandler,WOF,Player,11:38,0,0,0,0,0,0,1,1,4995,4026
Kolesar Keegan,WOF,Player,10:52,0,0,0,-1,0,0,2,0,6200,4551
Brossoit Laurent,WOF,Goalie,59:43,-,0,0,-,6,0,22,-,2916,177
Lehner Robin,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2708,3541
Nylander William,TOR,Player,15:29,1,1,0,2,0,0,2,2,1498,646
Engvall Pierre,TOR,Player,15:04,1,0,0,1,0,0,3,0,3511,947
Liljegren Timothy,TOR,Player,21:01,0,0,0,-1,0,0,0,2,5449,953
Kampf David,TOR,Player,14:59,0,2,0,2,0,0,2,0,6153,1102
Farabee Joel,TOR,Player,16:02,0,0,0,0,0,0,1,1,3331,1157
Muzzin Jake,TOR,Player,22:47,1,1,0,3,0,0,1,5,2862,1186
Brown Patrick,TOR,Player,13:01,0,1,0,1,0,0,0,1,5121,1856
Rielly Morgan,TOR,Player,22:07,1,0,0,0,0,0,1,3,5557,2086
Toninato Dominic,TOR,Player,09:12,0,0,2,0,0,0,3,2,1633,2188
Zadina Filip,TOR,Player,08:25,0,0,0,0,0,0,0,2,633,2287
Jarnkrok Calle,TOR,Player,14:47,0,0,0,1,0,0,1,0,459,2396
Brodie T.J.,TOR,Player,15:56,0,0,0,2,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,21:10,0,1,0,2,0,0,0,3,3327,2964
Tavares John,TOR,Player,14:30,1,2,0,2,0,0,2,1,719,3008
Panarin Artemi,TOR,Player,16:43,0,1,0,0,0,0,0,1,1917,3139
Matthews Auston,TOR,Player,22:21,1,0,0,0,0,1,6,2,3082,3250
Holl Justin,TOR,Player,16:59,0,1,0,2,0,0,0,5,5988,4271
Kerfoot Alex,TOR,Player,14:25,0,2,0,2,0,0,0,0,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,2,0,16,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
