Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hagelin Carl,WSH,Player,11:05,0,0,0,-1,0,0,2,0,1650,360
Ovechkin Alexander,WSH,Player,14:15,3,0,0,3,0,0,6,0,3392,650
Backstrom Nicklas,WSH,Player,16:25,0,2,0,3,0,0,1,2,3066,654
Gustafsson Erik,WSH,Player,19:57,0,0,0,1,0,0,2,6,5592,1753
Milano Sonny,WSH,Player,09:46,0,1,0,1,0,0,2,0,5124,1863
Strome Dylan,WSH,Player,17:25,0,1,0,0,0,0,2,2,1508,1925
Wilson Tom,WSH,Player,20:13,1,3,0,4,0,0,2,1,3194,2128
Irwin Matthew,WSH,Player,18:02,0,0,0,2,0,0,0,2,3503,2183
Fehervary Martin,WSH,Player,18:17,0,0,0,0,0,0,1,2,6598,2464
Aube-Kubel Nicolas,WSH,Player,10:37,0,0,0,0,0,0,1,2,3774,2530
Mantha Anthony,WSH,Player,16:32,1,0,0,0,0,0,2,2,5548,2690
Kuznetsov Evgeny,WSH,Player,15:39,0,2,0,2,0,0,1,2,4336,2909
Eller Lars,WSH,Player,12:05,0,1,2,0,0,0,0,0,4321,3035
Carlson John,WSH,Player,22:03,0,0,0,2,0,0,0,3,4455,3124
Oshie T.J.,WSH,Player,12:38,1,0,0,0,0,0,2,2,5408,3212
Orlov Dmitry,WSH,Player,22:57,0,1,0,3,0,0,0,8,1905,3776
Sheary Conor,WSH,Player,18:22,0,1,0,0,0,0,0,1,648,4142
Jensen Nick,WSH,Player,18:44,0,0,0,0,0,0,0,1,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,2,0,33,-,2785,429
Ehlers Nikolaj,ATL,Player,14:30,0,0,0,-1,0,0,4,2,4141,257
Gagner Sam,ATL,Player,09:52,0,0,0,0,0,0,1,1,5164,260
Wheeler Blake,ATL,Player,16:55,0,0,0,-3,0,0,2,2,206,404
Harkins Jansen,ATL,Player,12:00,1,0,0,1,0,0,3,1,2944,569
Scheifele Mark,ATL,Player,17:35,0,0,0,-3,0,0,4,4,5341,581
Lowry Adam,ATL,Player,11:24,0,0,0,0,0,0,3,1,2504,624
Stenlund Kevin,ATL,Player,18:09,0,1,0,0,0,0,1,3,6164,660
Barron Morgan,ATL,Player,15:21,0,1,0,1,0,0,1,1,6631,708
Morrissey Josh,ATL,Player,14:42,0,0,0,-1,0,0,2,4,6077,878
Dillon Brenden,ATL,Player,27:20,0,0,0,-2,0,0,1,4,3193,2019
Schmidt Nate,ATL,Player,16:02,0,0,0,-1,0,0,1,4,4431,2129
Pionk Neal,ATL,Player,25:39,0,0,0,-2,0,0,1,6,2102,2267
Perfetti Cole,ATL,Player,15:55,0,0,0,-2,0,0,1,2,6602,2495
Capobianco Kyle,ATL,Player,18:32,0,0,0,-1,0,0,0,1,3470,2708
Dubois Pierre-Luc,ATL,Player,15:40,0,0,0,-2,0,0,2,3,5952,2979
Beaulieu Nathan,ATL,Player,17:45,0,1,0,-1,0,0,0,5,4220,3179
Connor Kyle,ATL,Player,17:29,0,0,0,-3,0,0,2,2,5936,3847
Appleton Mason,ATL,Player,15:25,1,0,0,0,0,0,4,2,6204,4560
Hellebuyck Connor,ATL,Goalie,59:45,-,0,0,-,6,0,24,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
