Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hagelin Carl,WSH,Player,14:03,1,0,0,1,0,0,2,1,1650,360
Ovechkin Alexander,WSH,Player,15:11,0,0,0,0,0,0,1,0,3392,650
Backstrom Nicklas,WSH,Player,18:48,0,0,0,0,0,0,1,3,3066,654
Gustafsson Erik,WSH,Player,18:50,1,0,0,0,0,0,1,6,5592,1753
Milano Sonny,WSH,Player,11:49,0,0,0,1,0,0,1,0,5124,1863
Strome Dylan,WSH,Player,11:54,0,0,0,-3,0,0,0,0,1508,1925
Wilson Tom,WSH,Player,16:03,0,0,0,0,0,0,0,0,3194,2128
Irwin Matthew,WSH,Player,16:13,0,1,0,1,0,0,0,5,3503,2183
Fehervary Martin,WSH,Player,19:46,0,1,0,-2,0,0,1,4,6598,2464
Aube-Kubel Nicolas,WSH,Player,12:34,0,0,0,1,0,0,1,4,3774,2530
Mantha Anthony,WSH,Player,11:56,0,0,0,-3,0,0,0,2,5548,2690
Kuznetsov Evgeny,WSH,Player,19:11,0,0,0,1,0,0,1,1,4336,2909
Eller Lars,WSH,Player,16:21,0,1,4,1,0,0,1,0,4321,3035
Carlson John,WSH,Player,21:41,0,0,2,0,0,0,0,5,4455,3124
Oshie T.J.,WSH,Player,15:25,0,1,0,0,0,0,3,1,5408,3212
Orlov Dmitry,WSH,Player,26:16,0,0,0,0,0,0,0,6,1905,3776
Sheary Conor,WSH,Player,10:44,0,0,0,-2,0,0,2,3,648,4142
Jensen Nick,WSH,Player,17:35,0,0,0,-1,0,0,0,3,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,4,0,22,-,2785,429
Kane Patrick,CHI,Player,16:23,1,0,0,0,1,0,4,1,5160,151
Toews Jonathan,CHI,Player,18:07,1,1,0,1,0,0,3,1,5161,152
Johnson Jack,CHI,Player,15:57,0,0,2,2,0,0,0,4,1232,285
Jones Seth,CHI,Player,16:54,0,0,0,0,0,0,1,3,4044,424
Kurashev Philipp,CHI,Player,16:47,0,0,0,1,0,0,1,0,1698,542
Connolly Brett,CHI,Player,10:47,0,1,0,1,0,0,0,2,2688,584
Jones Caleb,CHI,Player,25:58,0,1,0,-1,0,0,0,8,2949,712
Murphy Connor,CHI,Player,20:00,0,1,0,1,0,0,1,3,289,1842
Johnson Tyler,CHI,Player,14:24,0,0,0,-2,0,0,1,3,892,2411
Tinordi Jarred,CHI,Player,19:37,0,0,0,1,0,0,0,3,2087,2435
Katchouk Boris,CHI,Player,10:21,1,0,0,1,0,0,2,0,6594,2457
Raddysh Taylor,CHI,Player,13:51,0,0,0,-2,0,0,3,3,6595,2458
Blackwell Colin,CHI,Player,15:01,0,0,0,2,0,0,1,0,3751,2663
McCabe Jake,CHI,Player,22:35,0,0,0,0,0,0,0,2,5306,3478
Domi Max,CHI,Player,18:19,0,0,0,0,0,0,0,0,2552,4013
Khaira Jujhar,CHI,Player,14:52,1,0,0,1,0,0,3,1,4766,4033
Athanasiou Andreas,CHI,Player,14:15,0,0,0,-1,0,0,0,0,5664,4103
Dickinson Jason,CHI,Player,11:06,0,1,0,0,0,0,2,0,6177,4437
Mrazek Petr,CHI,Goalie,59:48,-,0,0,-,2,0,15,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
