Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ovechkin Alexander,WSH,Player,13:41,0,0,0,-1,0,0,2,1,3392,650
Backstrom Nicklas,WSH,Player,20:22,0,0,0,1,0,0,5,0,3066,654
Gustafsson Erik,WSH,Player,18:15,0,0,0,2,0,0,1,3,5592,1753
Milano Sonny,WSH,Player,17:58,0,1,0,0,0,0,1,3,5124,1863
Strome Dylan,WSH,Player,11:41,1,2,0,2,0,0,4,1,1508,1925
Wilson Tom,WSH,Player,16:42,1,0,0,1,0,0,3,1,3194,2128
Irwin Matthew,WSH,Player,20:43,0,0,0,1,0,0,0,4,3503,2183
Fehervary Martin,WSH,Player,22:12,0,2,0,1,0,0,0,4,6598,2464
Aube-Kubel Nicolas,WSH,Player,14:25,0,1,0,1,0,0,1,0,3774,2530
Mantha Anthony,WSH,Player,14:30,0,1,0,2,0,0,1,0,5548,2690
Kuznetsov Evgeny,WSH,Player,14:41,0,0,0,-1,0,0,3,0,4336,2909
Eller Lars,WSH,Player,13:33,1,1,0,1,0,0,1,2,4321,3035
Carlson John,WSH,Player,19:50,0,1,0,0,0,0,0,6,4455,3124
Oshie T.J.,WSH,Player,14:06,0,0,0,-1,0,0,1,0,5408,3212
Orlov Dmitry,WSH,Player,22:34,0,0,0,0,0,0,0,1,1905,3776
Sheary Conor,WSH,Player,13:16,1,0,2,1,0,0,3,1,648,4142
Brown Connor,WSH,Player,14:48,2,1,0,3,0,0,5,1,2847,4166
Jensen Nick,WSH,Player,16:26,0,0,0,2,0,0,0,2,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,3,0,25,-,2785,429
Landeskog Gabriel,COL,Player,17:32,0,0,0,-4,0,0,5,3,1157,105
Nichushkin Valery,COL,Player,18:22,0,0,0,-3,0,0,1,3,2145,258
Cogliano Andrew,COL,Player,15:34,0,2,0,2,0,0,3,4,5163,259
Galchenyuk Alex,COL,Player,13:58,0,0,0,-1,0,0,0,1,1690,281
Johnson Erik,COL,Player,17:53,0,0,0,-3,0,0,1,0,5288,544
MacKinnon Nathan,COL,Player,18:58,0,0,0,-3,0,0,1,4,3917,599
Makar Cale,COL,Player,16:51,0,0,0,-3,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,21:57,0,0,0,-1,0,0,1,4,1114,747
Toews Devon,COL,Player,21:40,0,0,0,0,0,0,0,6,3708,854
Lehkonen Artturi,COL,Player,14:07,1,0,0,0,0,0,1,2,3216,1447
Newhook Alex,COL,Player,13:00,0,1,0,-1,0,0,3,2,6560,1456
Rantanen Mikko,COL,Player,12:17,0,0,0,-1,0,0,2,3,5444,1683
O'Connor Logan,COL,Player,14:23,1,0,0,2,0,0,3,2,6576,2388
Rodrigues Evan,COL,Player,13:39,0,0,0,-1,0,0,0,2,6126,2650
Matteau Stefan,COL,Player,13:47,0,0,0,-1,0,0,1,0,3256,3216
Manson Josh,COL,Player,19:53,0,0,0,1,0,0,1,9,5585,3493
Compher J.T.,COL,Player,14:23,1,1,0,2,0,0,2,0,5937,3848
Girard Samuel,COL,Player,21:46,0,0,0,0,0,0,0,6,6118,4344
Georgiev Alexander,COL,Goalie,20:00,-,1,0,-,2,0,11,-,482,92
Francouz Pavel,COL,Goalie,40:00,-,0,0,-,4,0,20,-,2460,341
