Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hagelin Carl,WSH,Player,06:03,0,0,0,-2,0,0,0,0,1650,360
Ovechkin Alexander,WSH,Player,17:26,0,0,2,-3,0,0,1,1,3392,650
Backstrom Nicklas,WSH,Player,19:39,1,1,0,-2,0,1,2,2,3066,654
Gustafsson Erik,WSH,Player,15:14,0,0,0,-1,0,0,0,4,5592,1753
Milano Sonny,WSH,Player,15:10,0,0,0,-1,0,0,3,1,5124,1863
Strome Dylan,WSH,Player,17:05,0,1,0,0,0,0,1,2,1508,1925
Wilson Tom,WSH,Player,14:04,0,1,0,-1,0,0,2,1,3194,2128
Irwin Matthew,WSH,Player,16:10,0,0,0,0,0,0,0,1,3503,2183
Fehervary Martin,WSH,Player,20:32,0,0,0,-2,0,0,3,4,6598,2464
Aube-Kubel Nicolas,WSH,Player,07:39,0,0,0,-2,0,0,1,0,3774,2530
Mantha Anthony,WSH,Player,19:36,1,0,0,0,0,0,1,2,5548,2690
Kuznetsov Evgeny,WSH,Player,21:51,2,0,0,1,1,1,4,2,4336,2909
Eller Lars,WSH,Player,10:21,0,1,0,-3,0,0,1,0,4321,3035
Carlson John,WSH,Player,24:29,0,1,0,-2,0,0,0,6,4455,3124
Oshie T.J.,WSH,Player,10:19,0,0,0,-1,0,0,2,0,5408,3212
Orlov Dmitry,WSH,Player,23:40,0,2,0,-1,0,0,1,10,1905,3776
Sheary Conor,WSH,Player,16:09,0,1,0,0,0,0,1,1,648,4142
Jensen Nick,WSH,Player,19:55,0,0,0,-2,0,0,0,6,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,59:40,-,0,0,-,7,0,21,-,2785,429
Hronek Filip,DET,Player,26:07,0,1,0,4,0,0,0,9,6228,9
Copp Andy,DET,Player,17:00,0,2,0,1,0,0,2,0,4865,103
Berggren Jonatan,DET,Player,15:43,0,0,0,0,0,0,2,0,6610,292
Hagg Robert,DET,Player,17:15,0,0,0,1,0,0,0,1,2110,400
Kubalik Dominik,DET,Player,20:33,1,2,0,1,0,0,2,1,6156,522
Perron David,DET,Player,27:57,2,0,0,1,0,0,4,5,5165,543
Seider Moritz,DET,Player,22:24,0,0,0,1,0,0,0,3,1948,645
Luff Matt,DET,Player,13:57,0,0,0,0,0,0,1,1,5233,738
Czarnik  Austin,DET,Player,09:49,1,0,0,2,0,0,1,1,6079,1022
Maatta Olli,DET,Player,19:10,0,2,2,3,0,0,0,5,2735,1899
Raymond Lucas,DET,Player,10:15,1,0,0,1,0,0,2,0,6568,2364
Oesterle Jordan,DET,Player,16:29,0,0,0,0,0,0,1,5,3157,2845
Chiarot Ben,DET,Player,18:35,0,0,0,-1,0,0,0,3,2315,3069
Larkin Dylan,DET,Player,12:38,1,2,0,2,0,0,3,1,5774,3165
Fabbri Robby,DET,Player,11:46,0,1,0,1,0,0,2,0,5090,4016
Bertuzzi Tyler,DET,Player,12:03,0,2,0,1,0,0,0,0,328,4304
Vrana Jakub,DET,Player,14:06,1,0,0,1,0,0,1,2,6115,4338
Erne Adam,DET,Player,09:06,0,1,2,1,0,0,0,1,6139,4341
Husso Ville,DET,Goalie,60:00,-,0,0,-,4,0,23,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
