Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hagelin Carl,WSH,Player,17:25,0,0,0,1,0,0,0,1,1650,360
Ovechkin Alexander,WSH,Player,14:31,0,0,0,1,0,0,0,1,3392,650
Backstrom Nicklas,WSH,Player,13:52,0,1,0,1,0,0,0,1,3066,654
Gustafsson Erik,WSH,Player,15:47,0,1,0,2,0,0,1,1,5592,1753
Milano Sonny,WSH,Player,14:59,1,1,0,1,0,0,3,0,5124,1863
Strome Dylan,WSH,Player,14:05,0,0,0,1,0,0,1,0,1508,1925
Wilson Tom,WSH,Player,14:31,1,0,0,1,0,0,3,2,3194,2128
Irwin Matthew,WSH,Player,17:48,0,1,0,2,0,0,0,4,3503,2183
Fehervary Martin,WSH,Player,19:02,1,0,0,1,0,0,1,1,6598,2464
Aube-Kubel Nicolas,WSH,Player,16:13,0,1,0,1,0,0,0,0,3774,2530
Mantha Anthony,WSH,Player,13:28,0,1,0,1,0,0,2,0,5548,2690
Kuznetsov Evgeny,WSH,Player,15:30,0,1,0,1,0,0,1,0,4336,2909
Eller Lars,WSH,Player,16:33,1,0,0,1,0,0,3,1,4321,3035
Carlson John,WSH,Player,25:11,0,0,0,1,0,0,0,4,4455,3124
Oshie T.J.,WSH,Player,15:48,1,1,0,1,0,0,3,0,5408,3212
Orlov Dmitry,WSH,Player,21:35,0,0,0,1,0,0,1,5,1905,3776
Sheary Conor,WSH,Player,13:05,0,0,0,1,0,0,2,1,648,4142
Jensen Nick,WSH,Player,20:37,0,0,0,1,0,0,0,5,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,1,0,25,-,2785,429
Suzuki Nick,MTL,Player,15:32,0,0,0,-1,0,0,0,1,1922,191
Gallagher Brendan,MTL,Player,16:06,0,0,0,-1,0,0,1,1,2699,308
Drouin Jonathan,MTL,Player,15:13,0,0,0,-1,0,0,2,1,2499,346
Anderson Josh,MTL,Player,16:07,0,0,0,-1,0,0,3,4,4955,381
Guhle Kaiden,MTL,Player,17:51,0,0,0,0,0,0,1,4,6615,405
Slafkovsky Juraj,MTL,Player,13:40,0,0,0,0,0,0,0,2,6616,466
Dadonov Evgeny,MTL,Player,13:02,0,0,0,0,0,0,0,0,4051,640
Savard David,MTL,Player,21:59,0,0,0,-2,0,0,0,3,4423,707
Evans Jake,MTL,Player,14:27,0,0,0,-2,0,0,4,3,3818,754
Matheson Michael,MTL,Player,22:08,0,0,0,-2,0,0,0,2,6057,846
Caufield Cole,MTL,Player,15:25,1,0,0,-1,0,0,3,2,6558,1110
Dach Kirby,MTL,Player,15:27,0,0,0,-2,0,0,1,1,3937,1163
Monahan Sean,MTL,Player,13:59,0,0,0,0,0,0,4,1,5281,1397
Edmundson Joel,MTL,Player,17:27,0,0,0,0,0,0,2,5,4557,1904
Dvorak Christian,MTL,Player,16:02,0,0,0,-1,0,0,3,0,6034,2057
Hoffman Mike,MTL,Player,15:00,0,0,0,-2,0,0,1,5,2611,3520
Wideman Chris,MTL,Player,20:01,0,0,0,-2,0,0,0,3,4184,4009
Bowey Madison,MTL,Player,20:34,0,0,0,-2,0,0,0,4,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,5,0,21,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
