Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nichushkin Valery,WSH,Player,12:21,0,0,0,-4,0,0,2,0,"",258
Lundestrom Isac,WSH,Player,12:53,1,0,0,0,0,0,2,1,"",568
Ovechkin Alexander,WSH,Player,15:35,0,0,0,-4,0,0,2,2,3392,650
Voracek Jakub,WSH,Player,17:29,0,1,0,2,0,0,1,1,"",921
Gavrikov Vladislav,WSH,Player,22:20,0,0,0,-4,0,0,0,4,"",1083
Milano Sonny,WSH,Player,11:40,0,0,0,-1,0,0,0,3,5124,1863
Strome Dylan,WSH,Player,17:32,1,0,0,1,0,0,4,3,1508,1925
Wilson Tom,WSH,Player,17:58,0,0,0,1,0,0,2,2,3194,2128
Irwin Matthew,WSH,Player,18:24,0,1,0,2,0,0,0,3,3503,2183
Fehervary Martin,WSH,Player,14:17,0,0,0,0,0,0,0,5,6598,2464
Mantha Anthony,WSH,Player,12:31,0,0,0,-1,0,0,0,2,5548,2690
Kuznetsov Evgeny,WSH,Player,14:57,0,0,0,-3,0,0,0,0,4336,2909
Eller Lars,WSH,Player,17:27,0,0,0,-1,0,0,0,4,4321,3035
Carlson John,WSH,Player,20:11,0,0,0,1,0,0,0,3,4455,3124
Orlov Dmitry,WSH,Player,26:48,0,0,0,-4,0,0,0,9,1905,3776
Sheary Conor,WSH,Player,11:25,0,0,0,0,0,0,0,1,648,4142
Brown Connor,WSH,Player,13:13,0,0,2,1,0,0,0,1,2847,4166
Jensen Nick,WSH,Player,18:00,0,0,0,-1,0,0,1,3,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,5,0,29,-,2785,429
Barzal Mathew,NYI,Player,22:14,0,2,0,1,0,0,1,5,6065,296
Parise Zach,NYI,Player,19:44,0,0,0,0,0,0,3,3,3395,387
Palmieri Kyle,NYI,Player,21:45,0,0,0,0,0,0,4,0,4569,498
Dobson Noah,NYI,Player,21:55,0,0,0,1,0,0,0,4,2160,667
Martin Matt,NYI,Player,07:18,0,1,0,1,0,0,1,1,5357,850
Mayfield Scott,NYI,Player,12:52,0,0,0,1,0,0,0,4,6058,1148
Cizikas Casey,NYI,Player,08:03,0,2,0,1,0,0,2,0,3210,1532
Romanov Alexander,NYI,Player,26:11,0,0,0,1,0,0,0,7,5790,1579
Bailey Josh,NYI,Player,11:13,1,1,0,1,0,0,2,0,3269,1649
Nelson Brock,NYI,Player,21:14,1,0,0,1,0,0,6,1,3021,1736
Pageau Jean-Gabriel,NYI,Player,23:29,0,0,0,0,0,0,1,3,4952,1808
Lee Anders,NYI,Player,20:37,1,1,0,1,0,0,4,2,2493,1895
Beauvillier Anthony,NYI,Player,08:26,0,0,0,1,0,0,0,1,6066,2074
Hickey Thomas,NYI,Player,11:19,0,0,0,1,0,0,0,1,4517,2097
Wahlstrom Oliver,NYI,Player,08:38,1,1,0,1,0,0,2,1,5065,2234
Pelech Adam,NYI,Player,22:23,0,0,0,1,0,0,0,4,5645,4007
Pulock Ryan,NYI,Player,25:20,0,0,0,1,0,0,1,6,2748,4152
Clutterbuck Cal,NYI,Player,07:23,1,0,0,1,0,0,2,1,5214,4277
Sorokin Ilya,NYI,Goalie,59:56,-,1,0,-,2,0,14,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
