Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hagelin Carl,WSH,Player,15:33,0,0,0,-2,0,0,0,2,1650,360
Ovechkin Alexander,WSH,Player,19:28,0,0,0,0,0,0,4,0,3392,650
Backstrom Nicklas,WSH,Player,17:31,1,0,0,0,0,0,3,0,3066,654
Gustafsson Erik,WSH,Player,21:22,0,0,0,-4,0,0,0,5,5592,1753
Milano Sonny,WSH,Player,12:08,0,0,0,-2,0,0,1,0,5124,1863
Strome Dylan,WSH,Player,15:53,0,0,0,-1,0,0,1,2,1508,1925
Wilson Tom,WSH,Player,16:47,0,1,0,0,0,0,4,2,3194,2128
Irwin Matthew,WSH,Player,22:02,0,0,0,-4,0,0,0,5,3503,2183
Fehervary Martin,WSH,Player,17:16,0,0,0,-1,0,0,0,6,6598,2464
Aube-Kubel Nicolas,WSH,Player,14:51,0,0,0,-2,0,0,2,0,3774,2530
Mantha Anthony,WSH,Player,14:20,0,0,0,-1,0,0,0,0,5548,2690
Kuznetsov Evgeny,WSH,Player,11:01,0,0,0,-2,0,0,0,0,4336,2909
Eller Lars,WSH,Player,15:35,0,0,0,-2,0,0,2,1,4321,3035
Carlson John,WSH,Player,21:22,0,0,0,0,0,0,1,4,4455,3124
Oshie T.J.,WSH,Player,14:02,0,0,0,-2,0,0,1,1,5408,3212
Orlov Dmitry,WSH,Player,22:06,0,1,0,0,0,0,0,3,1905,3776
Sheary Conor,WSH,Player,12:51,0,0,0,-1,0,0,1,1,648,4142
Jensen Nick,WSH,Player,15:52,0,0,0,-1,0,0,0,5,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,6,0,31,-,2785,429
Schneider Braden,NYR,Player,16:27,0,0,0,1,0,0,0,4,6627,64
Zibanejad Mika,NYR,Player,17:44,0,0,0,1,0,0,5,2,2170,108
Blais Sam,NYR,Player,10:21,2,0,0,3,0,0,3,2,6207,639
Lindgren Ryan,NYR,Player,17:14,0,0,0,1,0,0,1,4,3870,855
Hajek Libor,NYR,Player,16:34,1,0,0,1,0,0,1,0,1718,857
Kakko Kaapo,NYR,Player,19:45,1,0,0,1,0,0,2,1,4419,863
Kravtsov Vitali,NYR,Player,12:04,1,0,0,0,0,0,3,1,6192,948
Fox Adam,NYR,Player,16:36,0,1,0,2,0,0,0,1,1181,1227
Vesey Jimmy,NYR,Player,09:17,0,1,0,3,0,0,0,1,6032,1596
Miller K’andre,NYR,Player,26:12,0,0,0,3,0,0,1,3,2796,2118
Lafreniere Alexis,NYR,Player,19:44,0,0,0,1,0,0,2,0,6516,2135
Chytil Filip,NYR,Player,10:24,0,2,0,3,0,0,1,0,2026,2350
Trouba Jacob,NYR,Player,26:57,0,1,0,2,0,0,1,5,1743,2659
Panarin Artemi,NYR,Player,16:39,0,1,0,1,0,0,3,0,1917,3139
Goodrow Barclay,NYR,Player,12:37,0,1,0,0,0,0,3,2,2539,3211
Trocheck Vincent,NYR,Player,19:15,0,1,0,1,0,0,2,1,3671,3527
Kreider Chris,NYR,Player,17:51,1,0,0,1,0,0,2,2,2968,3752
Carpenter Ryan,NYR,Player,14:19,0,1,0,0,0,0,1,1,2797,4157
Halak Jaroslav,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,1277,326
Shestyorkin Igor,NYR,Goalie,60:00,-,0,0,-,1,0,20,-,5584,2237
