Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ovechkin Alexander,WSH,Player,18:10,0,0,0,0,0,0,2,0,3392,650
Backstrom Nicklas,WSH,Player,14:54,0,0,0,-3,0,0,0,0,3066,654
Gustafsson Erik,WSH,Player,21:42,0,0,0,-2,0,0,0,2,5592,1753
Milano Sonny,WSH,Player,13:23,0,0,0,-3,0,0,0,0,5124,1863
Strome Dylan,WSH,Player,15:02,0,0,0,-1,0,0,4,2,1508,1925
Wilson Tom,WSH,Player,11:20,0,0,0,-2,0,0,2,3,3194,2128
Irwin Matthew,WSH,Player,20:32,0,0,0,-2,0,0,0,3,3503,2183
Fehervary Martin,WSH,Player,18:20,0,0,0,-1,0,0,0,2,6598,2464
Aube-Kubel Nicolas,WSH,Player,16:00,1,0,0,-1,0,0,3,0,3774,2530
Mantha Anthony,WSH,Player,14:31,0,0,0,-1,0,0,1,1,5548,2690
Kuznetsov Evgeny,WSH,Player,15:38,0,0,0,0,0,0,5,0,4336,2909
Eller Lars,WSH,Player,14:26,0,0,0,0,0,0,2,2,4321,3035
Carlson John,WSH,Player,19:58,0,0,0,-1,0,0,0,3,4455,3124
Oshie T.J.,WSH,Player,18:09,0,0,0,0,0,0,1,1,5408,3212
Orlov Dmitry,WSH,Player,20:15,0,0,0,-1,0,0,0,2,1905,3776
Sheary Conor,WSH,Player,13:25,0,0,0,-1,0,0,0,0,648,4142
Brown Connor,WSH,Player,15:02,0,0,0,0,0,0,2,0,2847,4166
Jensen Nick,WSH,Player,19:13,0,0,0,-1,0,0,1,2,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,5,0,35,-,2785,429
Karlsson Erik,SJ,Player,24:18,0,0,0,1,0,0,1,2,4017,120
Simek Radim,SJ,Player,15:15,0,0,0,2,0,0,0,3,4584,142
Vlasic Marc-Edouard,SJ,Player,21:18,0,1,0,2,0,0,0,2,1790,545
Ferraro Mario,SJ,Player,22:45,0,0,0,0,0,0,0,2,2422,937
Gregor Noah,SJ,Player,12:04,1,1,0,2,0,0,2,1,5027,941
Lindblom Oskar,SJ,Player,13:43,1,1,0,1,0,0,4,0,1217,1379
Sturm Nico,SJ,Player,12:31,1,0,0,2,0,0,2,2,3343,2110
Knyzhov Nikolai,SJ,Player,14:24,0,0,0,1,0,0,0,1,6517,2148
Barabanov Alexander,SJ,Player,17:39,0,0,0,0,0,0,3,0,3181,2162
Lorentz Steven,SJ,Player,12:38,0,0,0,2,0,0,3,0,6523,2198
Dahlen Jonathan,SJ,Player,17:57,0,1,0,1,0,0,2,2,6591,2447
Weatherby Jasper,SJ,Player,13:20,0,2,0,2,0,0,3,2,6592,2451
Bonino Nick,SJ,Player,16:34,0,1,0,1,0,0,3,1,563,2862
Hertl Tomas,SJ,Player,19:01,0,0,0,-1,0,0,2,1,2290,2913
Couture Logan,SJ,Player,15:38,1,0,0,1,0,0,4,0,4370,3039
Benning Matt,SJ,Player,22:00,0,0,0,2,0,0,0,5,6097,4305
Meier Timo,SJ,Player,16:05,0,0,0,-1,0,0,1,2,6112,4332
Kunin Luke,SJ,Player,12:50,1,1,0,2,0,0,5,0,735,4448
Reimer James,SJ,Goalie,60:00,-,0,0,-,1,0,23,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
