Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nichushkin Valery,WSH,Player,13:36,0,0,0,0,0,0,1,0,2145,258
Lundestrom Isac,WSH,Player,15:40,0,0,0,0,0,0,2,2,2139,568
Ovechkin Alexander,WSH,Player,14:15,0,0,0,-1,0,0,1,1,3392,650
Voracek Jakub,WSH,Player,13:56,1,0,0,0,0,0,3,0,2724,921
Gavrikov Vladislav,WSH,Player,20:24,0,0,0,1,0,0,0,6,2628,1083
Milano Sonny,WSH,Player,15:09,1,0,0,-1,0,0,2,1,5124,1863
Strome Dylan,WSH,Player,10:54,0,1,0,-1,0,0,1,2,1508,1925
Wilson Tom,WSH,Player,15:36,0,0,0,-1,0,0,3,2,3194,2128
Irwin Matthew,WSH,Player,18:15,0,0,0,-1,0,0,0,5,3503,2183
Fehervary Martin,WSH,Player,22:34,0,0,0,-2,0,0,0,3,6598,2464
Mantha Anthony,WSH,Player,14:10,0,0,0,-2,0,0,2,3,5548,2690
Kuznetsov Evgeny,WSH,Player,17:43,1,0,0,0,0,0,2,3,4336,2909
Eller Lars,WSH,Player,15:43,0,1,0,-1,0,0,1,2,4321,3035
Carlson John,WSH,Player,17:02,0,1,0,-1,0,0,1,3,4455,3124
Orlov Dmitry,WSH,Player,19:40,0,0,2,1,0,0,0,3,1905,3776
Sheary Conor,WSH,Player,14:15,0,0,0,0,0,0,1,1,648,4142
Brown Connor,WSH,Player,16:38,0,1,0,1,0,0,0,0,2847,4166
Jensen Nick,WSH,Player,22:05,0,0,0,-2,0,0,0,4,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,6,0,19,-,2785,429
Nylander William,TOR,Player,16:24,0,3,0,1,0,0,1,0,1498,646
Engvall Pierre,TOR,Player,15:35,0,0,0,1,0,0,0,0,3511,947
Liljegren Timothy,TOR,Player,27:51,0,1,0,1,0,0,0,2,5449,953
Kampf David,TOR,Player,15:38,0,1,0,1,0,0,0,5,6153,1102
Farabee Joel,TOR,Player,13:42,1,0,0,1,0,0,3,0,3331,1157
Muzzin Jake,TOR,Player,18:14,0,0,0,-1,0,0,1,5,2862,1186
Brown Patrick,TOR,Player,13:04,0,0,0,-1,0,0,1,2,5121,1856
Rielly Morgan,TOR,Player,27:26,1,1,0,1,1,0,1,3,5557,2086
Toninato Dominic,TOR,Player,15:38,0,0,0,-1,0,0,1,1,1633,2188
Zadina Filip,TOR,Player,15:05,0,0,0,-1,0,0,3,0,633,2287
Jarnkrok Calle,TOR,Player,17:15,1,0,0,1,0,0,1,1,459,2396
Brodie T.J.,TOR,Player,14:56,0,0,0,1,0,0,0,0,1063,2864
Giordano Mark,TOR,Player,14:20,0,0,0,2,0,0,0,0,3327,2964
Tavares John,TOR,Player,13:36,2,0,0,1,0,0,2,3,719,3008
Panarin Artemi,TOR,Player,15:42,0,1,0,1,0,0,0,0,1917,3139
Matthews Auston,TOR,Player,15:32,1,1,0,1,0,0,3,2,3082,3250
Holl Justin,TOR,Player,17:13,0,0,0,0,0,0,1,0,5988,4271
Kerfoot Alex,TOR,Player,13:13,0,2,0,1,0,0,1,0,6186,4530
Wedgewood Scott,TOR,Goalie,59:36,-,0,0,-,3,0,20,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
