Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hagelin Carl,WSH,Player,14:23,1,1,0,2,0,0,2,1,1650,360
Ovechkin Alexander,WSH,Player,18:51,1,0,0,-4,0,0,6,1,3392,650
Backstrom Nicklas,WSH,Player,19:25,0,1,0,-4,0,0,2,1,3066,654
Gustafsson Erik,WSH,Player,20:53,0,1,0,-1,0,0,0,4,5592,1753
Milano Sonny,WSH,Player,09:32,0,0,0,-1,0,0,0,0,5124,1863
Strome Dylan,WSH,Player,17:14,1,1,0,-1,1,0,4,2,1508,1925
Wilson Tom,WSH,Player,13:59,0,1,0,-2,0,0,0,1,3194,2128
Irwin Matthew,WSH,Player,14:10,0,0,0,-1,0,0,0,3,3503,2183
Fehervary Martin,WSH,Player,22:15,0,0,0,-1,0,0,1,6,6598,2464
Aube-Kubel Nicolas,WSH,Player,11:26,0,1,0,1,0,0,1,0,3774,2530
Mantha Anthony,WSH,Player,19:18,0,1,0,-1,0,0,0,1,5548,2690
Kuznetsov Evgeny,WSH,Player,14:07,0,0,0,-3,0,0,1,2,4336,2909
Eller Lars,WSH,Player,14:07,0,0,0,2,0,0,0,1,4321,3035
Carlson John,WSH,Player,22:27,0,1,0,-2,0,0,0,5,4455,3124
Oshie T.J.,WSH,Player,16:31,2,1,0,0,1,0,2,0,5408,3212
Orlov Dmitry,WSH,Player,23:55,0,1,0,-2,0,0,0,2,1905,3776
Sheary Conor,WSH,Player,11:23,0,0,0,-1,0,0,0,0,648,4142
Jensen Nick,WSH,Player,16:20,0,0,0,-1,0,0,0,2,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,59:44,-,0,0,-,7,0,33,-,2785,429
Ferland Michael,VAN,Player,13:22,0,1,0,1,0,0,3,1,623,83
Horvat Bo,VAN,Player,21:31,4,0,0,4,0,2,9,0,2502,104
Ekman-Larsson Oliver,VAN,Player,21:53,0,1,0,-1,0,0,0,2,2592,139
Garland Conor,VAN,Player,11:33,0,1,0,0,0,0,0,0,2704,520
Poolman Tucker,VAN,Player,15:51,0,0,0,0,0,0,0,2,6203,574
Highmore Matthew,VAN,Player,12:20,1,0,0,1,0,0,2,0,1472,665
Stillman Riley,VAN,Player,23:22,0,0,2,1,0,0,0,5,4268,719
Hughes Quinton,VAN,Player,18:18,0,0,0,-2,0,0,0,4,1188,1210
Podkolzin Vasili,VAN,Player,22:09,1,4,2,5,0,0,2,3,5788,1577
Lazar Curtis,VAN,Player,13:46,0,1,0,0,0,0,2,1,2496,2115
Miller J.T.,VAN,Player,13:09,0,0,0,-1,0,0,3,1,3233,2378
Pettersson Elias,VAN,Player,13:00,0,0,0,-1,0,0,4,2,6254,2525
Kuzmenko Andrei,VAN,Player,09:51,0,2,0,2,0,0,2,0,2462,2782
Myers Tyler,VAN,Player,21:55,0,0,2,5,0,0,0,5,1127,2893
Schenn Luke,VAN,Player,22:15,0,1,0,5,0,0,0,5,237,3199
Pearson Tanner,VAN,Player,12:37,1,0,0,0,0,0,4,0,3944,3524
Mikheyev Ilya,VAN,Player,11:21,0,1,0,1,0,0,0,1,4751,3929
Boeser Brock,VAN,Player,12:26,0,0,0,-2,0,0,2,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,5,0,19,-,5939,4241
