Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Johnston Wyatt,DAL,Player,12:03,0,0,0,-2,0,0,1,2,6609,195
Benn Jamie,DAL,Player,15:25,0,1,0,1,0,0,3,1,3078,215
Suter Ryan,DAL,Player,18:07,0,0,0,-1,0,0,0,2,3444,362
Heiskanen Miro,DAL,Player,20:34,0,0,0,1,0,0,0,2,825,505
Seguin Tyler,DAL,Player,20:11,1,0,0,0,0,0,6,3,3529,541
Pavelski Joe,DAL,Player,15:33,0,1,2,0,0,0,1,1,1826,546
Guryanov Denis,DAL,Player,14:46,0,0,0,-1,0,0,1,1,2137,600
Caamano Nicholas,DAL,Player,12:07,0,0,0,-2,0,0,1,1,1383,691
Robertson Jason,DAL,Player,15:35,1,1,0,1,0,0,3,0,6511,1107
Kiviranta Joel,DAL,Player,12:41,0,0,0,-1,0,0,3,2,1746,1247
Hakanpaa Jani,DAL,Player,20:39,0,1,0,1,0,0,0,5,3629,1606
Hintz Roope,DAL,Player,15:18,0,0,0,-1,0,0,1,2,4787,1720
Faksa Radek,DAL,Player,13:16,0,0,0,-1,0,0,0,1,1664,2024
Dellandrea Ty,DAL,Player,16:55,0,0,0,-1,0,0,0,2,5062,2211
Lundkvist Nils,DAL,Player,21:19,0,0,0,-3,0,0,0,5,6586,2420
Marchment Mason,DAL,Player,12:20,0,0,0,-2,0,0,1,2,1942,2629
Hanley Joel,DAL,Player,18:31,0,0,0,-1,0,0,0,2,5563,2691
Lindell Esa,DAL,Player,20:50,0,0,0,-3,0,0,1,2,1621,3674
Oettinger Jake,DAL,Goalie,59:34,-,0,0,-,5,1,19,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
Larsson Adam,SYR,Player,19:31,0,0,0,1,0,0,0,4,1173,75
Eberle Jordan,SYR,Player,16:36,0,2,0,1,0,0,2,0,4475,229
Wennberg Alexander,SYR,Player,14:36,2,0,0,1,0,0,3,1,2515,302
Beniers Matty,SYR,Player,19:14,0,0,0,1,0,0,1,0,6617,430
Kuhlman Karson,SYR,Player,09:45,0,1,0,1,0,0,1,0,4123,564
Fleury Cale,SYR,Player,14:41,0,0,0,2,0,0,0,0,2328,760
Tanev  Brandon,SYR,Player,15:40,1,0,0,1,0,0,3,1,6076,851
Burakovsky Andre,SYR,Player,19:59,2,0,0,0,1,0,2,0,2514,1343
Donato Ryan,SYR,Player,08:48,0,0,0,0,0,0,2,1,4120,2119
Soucy Carson,SYR,Player,25:17,0,0,0,0,0,0,2,2,1272,2122
Schwartz Jaden,SYR,Player,14:57,0,1,0,0,0,0,0,1,4358,2157
Schultz Justin,SYR,Player,16:24,0,1,0,2,0,0,0,1,1225,2180
Oleksiak Jamie,SYR,Player,25:48,0,0,0,0,0,0,0,4,1830,2316
Bjorkstrand Oliver,SYR,Player,16:34,0,3,0,2,0,0,1,1,2321,3595
Donskoi Joonas,SYR,Player,11:53,0,0,0,0,0,0,0,1,5758,3849
McCann Jared,SYR,Player,15:52,0,1,0,0,0,0,0,4,5577,4024
Gourde Yanni,SYR,Player,16:06,1,1,0,2,0,0,2,2,5000,4126
Dunn Vince,SYR,Player,18:19,0,1,0,1,0,0,1,1,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,2,0,22,-,4348,2437
