Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,26:22,0,0,0,-1,0,0,1,4,6228,9
Copp Andy,DET,Player,13:45,0,1,0,-1,0,0,1,2,4865,103
Berggren Jonatan,DET,Player,13:41,0,0,0,0,0,0,3,1,6610,292
Hagg Robert,DET,Player,16:21,0,1,0,0,0,0,0,2,2110,400
Kubalik Dominik,DET,Player,15:54,0,1,0,-2,0,0,1,1,6156,522
Perron David,DET,Player,15:41,1,0,2,-2,0,0,3,2,5165,543
Seider Moritz,DET,Player,18:01,0,0,0,-2,0,0,0,7,1948,645
Luff Matt,DET,Player,11:47,1,0,0,0,0,0,1,1,5233,738
Czarnik  Austin,DET,Player,14:59,0,0,0,0,0,0,1,1,6079,1022
Maatta Olli,DET,Player,22:16,0,0,0,-1,0,0,1,2,2735,1899
Raymond Lucas,DET,Player,17:33,0,2,0,0,0,0,1,1,6568,2364
Oesterle Jordan,DET,Player,15:23,0,0,0,0,0,0,0,4,3157,2845
Chiarot Ben,DET,Player,21:37,0,0,0,0,0,0,0,3,2315,3069
Larkin Dylan,DET,Player,16:17,1,0,0,-1,0,0,1,1,5774,3165
Fabbri Robby,DET,Player,11:17,0,0,0,0,0,0,0,6,5090,4016
Bertuzzi Tyler,DET,Player,18:39,1,1,0,1,1,0,6,0,328,4304
Vrana Jakub,DET,Player,09:45,0,0,0,-1,0,0,1,2,6115,4338
Erne Adam,DET,Player,15:42,0,0,0,0,0,0,3,2,6139,4341
Husso Ville,DET,Goalie,60:00,-,2,0,-,5,0,29,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Larsson Adam,SYR,Player,22:10,0,0,2,-1,0,0,0,4,1173,75
Eberle Jordan,SYR,Player,19:06,0,0,0,-1,0,0,3,0,4475,229
Wennberg Alexander,SYR,Player,07:04,0,1,0,-1,0,0,0,0,2515,302
Beniers Matty,SYR,Player,18:08,0,1,0,0,0,0,3,1,6617,430
Kuhlman Karson,SYR,Player,10:25,1,0,0,1,0,0,1,0,4123,564
Fleury Cale,SYR,Player,14:40,0,0,0,0,0,0,0,0,2328,760
Tanev  Brandon,SYR,Player,15:51,0,0,0,-1,0,0,1,1,6076,851
Burakovsky Andre,SYR,Player,19:30,0,2,0,2,0,0,1,3,2514,1343
Donato Ryan,SYR,Player,15:01,1,1,0,2,0,0,2,0,4120,2119
Soucy Carson,SYR,Player,16:52,0,1,0,1,0,0,0,1,1272,2122
Schwartz Jaden,SYR,Player,19:24,0,1,0,2,0,0,2,2,4358,2157
Schultz Justin,SYR,Player,19:22,0,0,0,0,0,0,1,3,1225,2180
Oleksiak Jamie,SYR,Player,23:10,0,0,0,3,0,0,0,1,1830,2316
Bjorkstrand Oliver,SYR,Player,09:39,0,1,0,-1,0,0,2,0,2321,3595
Donskoi Joonas,SYR,Player,10:11,0,0,0,1,0,0,4,1,5758,3849
McCann Jared,SYR,Player,21:31,2,0,0,2,0,0,5,2,5577,4024
Gourde Yanni,SYR,Player,09:45,1,0,0,-1,0,1,2,0,5000,4126
Dunn Vince,SYR,Player,23:46,0,0,0,1,0,0,2,5,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,1,0,-,4,0,24,-,4348,2437
