Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,19:46,0,0,0,-1,0,0,0,1,6065,296
Parise Zach,NYI,Player,15:32,0,0,0,-3,0,0,0,0,3395,387
Palmieri Kyle,NYI,Player,16:08,0,0,0,-3,0,0,0,0,4569,498
Dobson Noah,NYI,Player,20:19,0,0,2,-1,0,0,0,1,2160,667
Martin Matt,NYI,Player,03:21,1,0,0,1,0,0,1,0,5357,850
Mayfield Scott,NYI,Player,22:07,0,1,0,0,0,0,0,3,6058,1148
Cizikas Casey,NYI,Player,14:03,0,0,0,0,0,0,0,3,3210,1532
Romanov Alexander,NYI,Player,16:55,0,0,0,-3,0,0,0,6,5790,1579
Bailey Josh,NYI,Player,16:40,0,0,0,-2,0,0,0,3,3269,1649
Nelson Brock,NYI,Player,17:49,0,0,0,-3,0,0,2,2,3021,1736
Pageau Jean-Gabriel,NYI,Player,17:37,0,0,0,0,0,0,1,1,4952,1808
Lee Anders,NYI,Player,21:21,0,0,0,-3,0,0,2,2,2493,1895
Beauvillier Anthony,NYI,Player,10:31,1,0,0,1,0,0,2,0,6066,2074
Hickey Thomas,NYI,Player,15:10,0,0,0,1,0,0,0,0,4517,2097
Wahlstrom Oliver,NYI,Player,08:53,0,1,0,0,0,0,0,2,5065,2234
Pelech Adam,NYI,Player,27:55,0,0,0,-2,0,0,0,2,5645,4007
Pulock Ryan,NYI,Player,19:34,0,0,0,-3,0,0,0,4,2748,4152
Clutterbuck Cal,NYI,Player,06:23,0,1,0,1,0,0,0,1,5214,4277
Sorokin Ilya,NYI,Goalie,31:12,-,0,2,-,4,0,14,-,5141,2065
Varlamov Semyon,NYI,Goalie,28:48,-,1,0,-,2,0,11,-,4806,3344
Larsson Adam,SYR,Player,18:18,0,0,0,1,0,0,0,0,1173,75
Eberle Jordan,SYR,Player,16:44,0,1,0,1,0,0,2,3,4475,229
Wennberg Alexander,SYR,Player,13:03,0,0,0,0,0,0,1,2,2515,302
Beniers Matty,SYR,Player,18:08,0,2,0,1,0,0,2,3,6617,430
Kuhlman Karson,SYR,Player,12:22,0,1,0,1,0,0,0,1,4123,564
Fleury Cale,SYR,Player,11:24,0,1,0,0,0,0,0,1,2328,760
Tanev  Brandon,SYR,Player,11:53,1,0,0,1,0,0,3,1,6076,851
Burakovsky Andre,SYR,Player,17:29,0,1,0,2,0,0,1,2,2514,1343
Donato Ryan,SYR,Player,13:59,1,1,0,1,0,0,2,2,4120,2119
Soucy Carson,SYR,Player,22:19,0,1,0,3,0,0,0,3,1272,2122
Schwartz Jaden,SYR,Player,16:58,1,0,0,2,0,0,4,2,4358,2157
Schultz Justin,SYR,Player,19:18,0,0,0,0,0,0,1,5,1225,2180
Oleksiak Jamie,SYR,Player,30:18,1,1,0,3,0,0,2,3,1830,2316
Bjorkstrand Oliver,SYR,Player,17:58,0,1,0,0,0,0,2,2,2321,3595
Donskoi Joonas,SYR,Player,13:33,1,0,0,1,0,0,2,3,5758,3849
McCann Jared,SYR,Player,10:10,0,0,0,2,0,0,2,0,5577,4024
Gourde Yanni,SYR,Player,17:43,1,0,0,0,0,0,1,0,5000,4126
Dunn Vince,SYR,Player,18:23,0,0,0,1,0,0,0,5,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,2,0,8,-,4348,2437
