Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Couturier Sean,PHI,Player,16:01,0,0,0,-5,0,0,0,1,493,181
Provorov Ivan,PHI,Player,19:06,1,1,0,-3,0,0,2,2,2543,183
Cates Noah,PHI,Player,11:17,0,1,0,-1,0,0,1,1,6625,338
Ellis Ryan,PHI,Player,20:19,0,0,0,-1,0,0,0,2,3247,350
Konecny Travis,PHI,Player,21:53,0,1,0,0,0,0,4,0,6068,391
Braun Justin,PHI,Player,18:43,0,0,0,-2,0,0,0,3,3564,547
DeAngelo Anthony,PHI,Player,23:03,0,0,0,0,0,0,0,4,5961,573
Sedlak Lukas,PHI,Player,11:49,0,0,0,-1,0,0,1,0,6073,610
Atkinson Cam,PHI,Player,22:29,0,1,0,-2,0,0,2,2,3496,733
Farabee Joel,PHI,Player,14:54,0,0,0,-4,0,0,1,2,3331,1157
Seeler Nick,PHI,Player,17:31,0,0,0,0,0,0,0,2,3217,1375
Brown Patrick,PHI,Player,12:00,0,0,0,-1,0,0,0,0,5121,1856
Laughton Scott,PHI,Player,08:29,0,0,0,2,0,0,1,1,1055,2075
Tippett Owen,PHI,Player,08:33,0,0,0,1,0,0,1,1,6528,2215
MacEwen Zack,PHI,Player,13:33,1,0,0,-1,0,0,1,1,3423,2577
Van Riemsdyk James,PHI,Player,12:01,1,0,0,0,0,0,1,1,2752,3033
Ristolainen Rasmus,PHI,Player,21:18,0,1,0,-2,0,0,0,2,3837,3376
Hayes Kevin,PHI,Player,24:13,1,0,0,0,0,0,4,2,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Hart Carter,PHI,Goalie,60:00,-,0,2,-,9,0,33,-,1528,1209
Larsson Adam,SYR,Player,17:01,0,0,0,2,0,0,0,5,1173,75
Eberle Jordan,SYR,Player,15:14,0,0,0,0,0,0,1,3,4475,229
Wennberg Alexander,SYR,Player,11:47,1,2,0,3,0,0,1,0,2515,302
Beniers Matty,SYR,Player,17:14,0,1,0,1,0,0,1,1,6617,430
Kuhlman Karson,SYR,Player,12:10,0,1,0,-1,0,0,4,3,4123,564
Fleury Cale,SYR,Player,20:25,0,1,2,3,0,0,0,3,2328,760
Tanev  Brandon,SYR,Player,13:31,1,0,0,-1,0,0,3,0,6076,851
Burakovsky Andre,SYR,Player,16:43,0,1,0,1,0,0,2,3,2514,1343
Donato Ryan,SYR,Player,15:27,0,2,0,0,0,0,5,1,4120,2119
Soucy Carson,SYR,Player,20:16,0,1,0,-1,0,0,0,1,1272,2122
Schwartz Jaden,SYR,Player,14:29,1,0,0,1,1,0,3,1,4358,2157
Schultz Justin,SYR,Player,22:55,1,1,0,3,0,1,1,5,1225,2180
Oleksiak Jamie,SYR,Player,22:46,0,0,0,0,0,0,0,4,1830,2316
Bjorkstrand Oliver,SYR,Player,12:42,2,1,0,2,0,0,2,0,2321,3595
Donskoi Joonas,SYR,Player,13:02,1,0,0,-1,0,0,3,0,5758,3849
McCann Jared,SYR,Player,17:19,1,1,0,2,0,0,3,0,5577,4024
Gourde Yanni,SYR,Player,15:11,0,4,0,3,0,0,2,0,5000,4126
Dunn Vince,SYR,Player,16:49,1,0,0,2,0,0,2,3,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,4,0,19,-,4348,2437
