Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Carter Jeff,PIT,Player,16:39,0,0,0,0,0,0,4,0,3297,474
Letang Kris,PIT,Player,26:44,0,0,0,-2,0,0,0,1,1716,501
Malkin Evgeni,PIT,Player,20:39,0,0,0,-2,0,0,3,1,1703,502
Crosby Sidney,PIT,Player,17:40,0,0,0,-2,0,0,1,0,3308,518
Rakell Rickard,PIT,Player,16:40,0,0,0,0,0,0,2,0,1276,526
Joseph Pierre-Olivier,PIT,Player,17:52,0,1,0,1,0,0,2,1,6623,678
Caggiula Drake,PIT,Player,10:58,0,1,0,1,0,0,1,0,6074,704
Dumoulin Brian,PIT,Player,17:41,0,0,0,0,0,0,0,1,2750,749
Rust Bryan,PIT,Player,13:42,0,0,0,0,0,0,1,1,431,1005
Heinen Danton,PIT,Player,14:29,0,0,0,0,0,0,0,0,6080,1100
Petry Jeff,PIT,Player,26:23,0,0,0,-2,0,0,0,1,1116,1433
Pettersson Marcus,PIT,Player,15:24,0,0,0,0,0,0,0,2,3150,1594
Ruhwedel Chad,PIT,Player,15:56,0,0,0,1,0,0,0,0,3964,2182
Zucker Jason,PIT,Player,14:30,0,0,0,0,0,0,2,1,2630,3042
Boyle Brian,PIT,Player,13:25,0,0,0,0,0,0,1,1,3830,4222
Guentzel Jake,PIT,Player,17:52,0,0,0,-2,0,0,0,0,6111,4331
Kapanen Kasperi,PIT,Player,11:10,0,0,0,1,0,0,1,0,991,4360
Blugers Teodors,PIT,Player,12:16,1,0,0,1,0,0,1,0,341,4454
Jarry Tristan,PIT,Goalie,60:00,-,0,0,-,2,0,27,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
Larsson Adam,SYR,Player,22:14,0,0,0,1,0,0,0,2,1173,75
Eberle Jordan,SYR,Player,16:17,1,0,0,1,0,0,4,0,4475,229
Wennberg Alexander,SYR,Player,17:12,0,0,0,0,0,0,2,1,2515,302
Beniers Matty,SYR,Player,16:08,0,1,0,1,0,0,3,1,6617,430
Kuhlman Karson,SYR,Player,12:07,0,0,0,-1,0,0,2,1,4123,564
Fleury Cale,SYR,Player,15:58,0,0,0,0,0,0,0,5,2328,760
Tanev  Brandon,SYR,Player,16:01,0,1,0,1,0,0,1,1,6076,851
Burakovsky Andre,SYR,Player,14:24,1,0,0,1,0,0,3,0,2514,1343
Donato Ryan,SYR,Player,14:36,0,0,0,-1,0,0,2,0,4120,2119
Soucy Carson,SYR,Player,20:40,0,0,0,0,0,0,0,2,1272,2122
Schwartz Jaden,SYR,Player,14:45,0,0,0,1,0,0,2,0,4358,2157
Schultz Justin,SYR,Player,16:44,0,0,0,0,0,0,1,4,1225,2180
Oleksiak Jamie,SYR,Player,21:48,0,0,0,0,0,0,1,1,1830,2316
Bjorkstrand Oliver,SYR,Player,16:31,0,0,0,0,0,0,2,0,2321,3595
Donskoi Joonas,SYR,Player,12:43,0,0,0,-1,0,0,1,1,5758,3849
McCann Jared,SYR,Player,13:38,0,1,0,1,0,0,2,0,5577,4024
Gourde Yanni,SYR,Player,15:38,0,0,0,0,0,0,1,3,5000,4126
Dunn Vince,SYR,Player,22:36,0,0,0,1,0,0,0,3,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,1,0,19,-,4348,2437
