Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Karlsson Erik,SJ,Player,19:53,0,0,0,1,0,0,0,2,4017,120
Simek Radim,SJ,Player,14:27,0,0,0,0,0,0,0,3,4584,142
Vlasic Marc-Edouard,SJ,Player,19:21,0,0,0,-1,0,0,0,0,1790,545
Ferraro Mario,SJ,Player,21:29,0,1,0,1,0,0,0,0,2422,937
Gregor Noah,SJ,Player,13:57,0,1,0,1,0,0,0,0,5027,941
Lindblom Oskar,SJ,Player,09:33,0,0,0,-1,0,0,2,2,1217,1379
Sturm Nico,SJ,Player,13:59,1,0,0,1,0,0,2,0,3343,2110
Knyzhov Nikolai,SJ,Player,20:46,0,0,0,0,0,0,0,3,6517,2148
Barabanov Alexander,SJ,Player,17:40,0,1,0,0,0,0,3,0,3181,2162
Lorentz Steven,SJ,Player,11:00,0,0,0,-1,0,0,1,1,6523,2198
Dahlen Jonathan,SJ,Player,15:59,0,0,0,0,0,0,0,0,6591,2447
Weatherby Jasper,SJ,Player,13:10,0,0,0,1,0,0,0,2,6592,2451
Bonino Nick,SJ,Player,15:27,0,0,0,0,0,0,1,3,563,2862
Hertl Tomas,SJ,Player,17:58,0,1,0,0,0,0,2,1,2290,2913
Couture Logan,SJ,Player,14:26,1,0,2,0,0,0,2,3,4370,3039
Benning Matt,SJ,Player,24:04,0,0,0,-1,0,0,0,5,6097,4305
Meier Timo,SJ,Player,19:51,1,0,0,0,0,0,2,2,6112,4332
Kunin Luke,SJ,Player,13:37,0,0,0,-1,0,0,1,0,735,4448
Reimer James,SJ,Goalie,60:00,-,0,0,-,4,0,23,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
Larsson Adam,SYR,Player,19:02,0,0,0,-2,0,0,0,0,1173,75
Eberle Jordan,SYR,Player,15:47,0,0,0,-2,0,0,1,0,4475,229
Wennberg Alexander,SYR,Player,15:07,1,0,0,2,0,0,2,0,2515,302
Beniers Matty,SYR,Player,15:55,0,0,0,-2,0,0,0,0,6617,430
Kuhlman Karson,SYR,Player,12:10,0,0,0,0,0,0,1,0,4123,564
Fleury Cale,SYR,Player,17:40,0,0,0,2,0,0,0,1,2328,760
Tanev  Brandon,SYR,Player,15:06,0,0,0,-2,0,0,1,1,6076,851
Burakovsky Andre,SYR,Player,14:14,0,1,0,0,0,0,2,1,2514,1343
Donato Ryan,SYR,Player,12:02,0,0,0,0,0,0,2,2,4120,2119
Soucy Carson,SYR,Player,19:01,0,0,0,1,0,0,0,3,1272,2122
Schwartz Jaden,SYR,Player,18:58,2,0,0,1,1,0,5,0,4358,2157
Schultz Justin,SYR,Player,21:14,0,1,0,1,0,0,0,2,1225,2180
Oleksiak Jamie,SYR,Player,23:18,0,1,0,0,0,0,0,1,1830,2316
Bjorkstrand Oliver,SYR,Player,15:35,0,2,0,1,0,0,2,0,2321,3595
Donskoi Joonas,SYR,Player,13:03,0,0,0,0,0,0,0,0,5758,3849
McCann Jared,SYR,Player,14:30,0,1,0,1,0,0,1,2,5577,4024
Gourde Yanni,SYR,Player,17:33,1,1,0,1,0,0,6,1,5000,4126
Dunn Vince,SYR,Player,19:45,0,0,0,-2,0,0,0,2,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,3,0,16,-,4348,2437
