Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,20:11,0,0,0,1,0,0,0,0,1173,75
Eberle Jordan,SYR,Player,15:51,0,1,0,0,0,0,0,2,4475,229
Wennberg Alexander,SYR,Player,11:53,1,0,0,1,0,0,2,1,2515,302
Beniers Matty,SYR,Player,20:51,1,0,0,0,0,1,4,0,6617,430
Kuhlman Karson,SYR,Player,10:00,0,0,0,0,0,0,1,0,4123,564
Fleury Cale,SYR,Player,16:52,0,0,0,1,0,0,0,2,2328,760
Tanev  Brandon,SYR,Player,15:40,0,0,0,0,0,0,0,1,6076,851
Burakovsky Andre,SYR,Player,15:22,1,0,0,1,0,0,1,1,2514,1343
Donato Ryan,SYR,Player,10:57,0,0,0,0,0,0,1,1,4120,2119
Soucy Carson,SYR,Player,19:29,0,0,0,1,0,0,0,2,1272,2122
Schwartz Jaden,SYR,Player,16:26,0,1,0,1,0,0,0,0,4358,2157
Schultz Justin,SYR,Player,18:40,0,0,0,1,0,0,0,2,1225,2180
Oleksiak Jamie,SYR,Player,22:57,0,0,0,1,0,0,0,1,1830,2316
Bjorkstrand Oliver,SYR,Player,11:47,0,1,0,1,0,0,1,1,2321,3595
Donskoi Joonas,SYR,Player,09:08,0,0,0,0,0,0,3,0,5758,3849
McCann Jared,SYR,Player,23:17,0,1,0,2,0,0,0,1,5577,4024
Gourde Yanni,SYR,Player,13:50,1,1,2,2,0,0,2,0,5000,4126
Dunn Vince,SYR,Player,21:51,0,1,0,1,0,0,0,5,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,1,0,23,-,4348,2437
Ehlers Nikolaj,ATL,Player,15:46,0,0,0,0,0,0,1,3,4141,257
Wheeler Blake,ATL,Player,23:58,0,0,0,-2,0,0,2,2,206,404
Harkins Jansen,ATL,Player,10:05,0,0,0,0,0,0,0,1,2944,569
Scheifele Mark,ATL,Player,23:18,0,0,0,-2,0,0,3,4,5341,581
Lowry Adam,ATL,Player,09:42,0,0,0,0,0,0,1,0,2504,624
Stenlund Kevin,ATL,Player,10:04,0,1,0,-1,0,0,1,0,6164,660
Barron Morgan,ATL,Player,10:53,0,0,0,-1,0,0,0,0,6631,708
Morrissey Josh,ATL,Player,22:55,0,0,0,-2,0,0,0,4,6077,878
Schmidt Nate,ATL,Player,24:01,0,0,0,0,0,0,0,4,4431,2129
Pionk Neal,ATL,Player,20:31,0,0,0,-1,0,0,0,3,2102,2267
Veleno Joe,ATL,Player,08:39,0,0,0,0,0,0,4,0,"",2363
Raymond Lucas,ATL,Player,14:43,0,0,0,0,0,0,3,2,"",2364
Pysyk Mark,ATL,Player,17:55,0,1,0,-2,0,0,1,5,"",2433
Perfetti Cole,ATL,Player,16:41,0,0,0,0,0,0,1,0,6602,2495
Pettersson Elias,ATL,Player,25:31,0,0,0,-2,0,0,3,2,"",2525
Capobianco Kyle,ATL,Player,19:55,0,0,0,0,0,0,0,3,3470,2708
Beaulieu Nathan,ATL,Player,14:43,0,0,0,-1,0,0,1,4,4220,3179
Appleton Mason,ATL,Player,11:14,1,0,0,-1,0,0,2,0,6204,4560
Hellebuyck Connor,ATL,Goalie,59:26,-,0,0,-,4,0,15,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
