Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,21:19,0,1,0,1,0,0,0,0,1173,75
Eberle Jordan,SYR,Player,15:40,0,1,0,0,0,0,3,3,4475,229
Wennberg Alexander,SYR,Player,09:00,0,1,0,1,0,0,2,0,2515,302
Beniers Matty,SYR,Player,20:28,2,0,0,1,0,1,5,2,6617,430
Kuhlman Karson,SYR,Player,13:19,0,1,2,1,0,0,2,0,4123,564
Fleury Cale,SYR,Player,15:17,0,1,0,2,0,0,0,1,2328,760
Tanev  Brandon,SYR,Player,10:48,0,1,0,0,0,0,1,0,6076,851
Burakovsky Andre,SYR,Player,16:05,0,0,0,0,0,0,0,2,2514,1343
Donato Ryan,SYR,Player,14:36,0,0,0,1,0,0,3,1,4120,2119
Soucy Carson,SYR,Player,16:37,0,0,0,0,0,0,0,0,1272,2122
Schwartz Jaden,SYR,Player,18:47,1,0,0,0,0,0,5,1,4358,2157
Schultz Justin,SYR,Player,21:52,1,0,0,2,0,0,1,2,1225,2180
Oleksiak Jamie,SYR,Player,23:24,0,1,0,0,0,0,0,3,1830,2316
Bjorkstrand Oliver,SYR,Player,13:48,0,0,0,1,0,0,2,3,2321,3595
Donskoi Joonas,SYR,Player,12:18,0,1,0,1,0,0,1,0,5758,3849
McCann Jared,SYR,Player,15:33,0,1,0,0,0,0,3,2,5577,4024
Gourde Yanni,SYR,Player,14:54,1,1,0,2,0,0,3,1,5000,4126
Dunn Vince,SYR,Player,21:31,0,0,2,1,0,0,1,3,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,59:35,-,0,0,-,3,0,11,-,4348,2437
Landeskog Gabriel,COL,Player,17:10,0,1,0,0,0,0,2,5,1157,105
Nichushkin Valery,COL,Player,21:22,0,0,2,-1,0,0,1,5,2145,258
Cogliano Andrew,COL,Player,12:40,0,0,0,-3,0,0,0,1,5163,259
Galchenyuk Alex,COL,Player,10:00,0,0,0,0,0,0,0,1,1690,281
Johnson Erik,COL,Player,18:26,0,0,0,1,0,0,0,3,5288,544
MacKinnon Nathan,COL,Player,18:39,1,0,0,0,0,0,1,2,3917,599
Makar Cale,COL,Player,21:38,0,1,0,0,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,28:55,0,0,0,0,0,0,0,10,1114,747
Toews Devon,COL,Player,17:30,0,0,0,-1,0,0,0,1,3708,854
Lehkonen Artturi,COL,Player,19:30,1,0,2,1,0,0,3,7,3216,1447
Newhook Alex,COL,Player,21:46,0,0,0,0,0,0,2,6,6560,1456
Rantanen Mikko,COL,Player,14:22,1,0,0,0,0,0,1,3,5444,1683
O'Connor Logan,COL,Player,13:20,0,0,0,-2,0,0,1,5,6576,2388
Rodrigues Evan,COL,Player,07:00,0,0,0,0,0,0,0,2,6126,2650
Manson Josh,COL,Player,15:21,0,0,0,-3,0,0,0,4,5585,3493
Compher J.T.,COL,Player,14:08,0,0,0,-3,0,0,0,3,5937,3848
Helm Darren,COL,Player,05:14,0,0,0,0,0,0,0,0,5382,4289
Girard Samuel,COL,Player,18:10,0,0,0,-3,0,0,0,4,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,58:57,-,0,0,-,5,0,32,-,2460,341
