Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,18:21,0,0,0,0,0,0,0,3,1173,75
Eberle Jordan,SYR,Player,17:29,0,0,2,0,0,0,0,1,4475,229
Wennberg Alexander,SYR,Player,16:57,0,0,0,3,0,0,0,1,2515,302
Beniers Matty,SYR,Player,15:48,0,0,0,0,0,0,2,1,6617,430
Kuhlman Karson,SYR,Player,15:27,0,0,0,-1,0,0,3,1,4123,564
Fleury Cale,SYR,Player,15:43,0,0,0,2,0,0,0,3,2328,760
Tanev  Brandon,SYR,Player,11:19,0,0,0,0,0,0,3,3,6076,851
Burakovsky Andre,SYR,Player,13:13,0,0,0,1,0,0,1,2,2514,1343
Donato Ryan,SYR,Player,15:29,0,0,0,0,0,0,3,1,4120,2119
Soucy Carson,SYR,Player,22:38,0,1,0,1,0,0,0,1,1272,2122
Schwartz Jaden,SYR,Player,11:17,0,1,0,1,0,0,0,2,4358,2157
Schultz Justin,SYR,Player,20:09,1,0,0,2,0,0,1,2,1225,2180
Oleksiak Jamie,SYR,Player,25:56,0,0,0,1,0,0,0,4,1830,2316
Bjorkstrand Oliver,SYR,Player,13:35,1,0,0,3,0,0,3,0,2321,3595
Donskoi Joonas,SYR,Player,12:40,0,0,0,-1,0,0,2,2,5758,3849
McCann Jared,SYR,Player,15:41,1,0,0,1,0,0,3,0,5577,4024
Gourde Yanni,SYR,Player,16:06,1,2,0,2,0,0,5,0,5000,4126
Dunn Vince,SYR,Player,17:13,0,0,0,0,0,0,0,2,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,1,0,7,-,4348,2437
Hronek Filip,DET,Player,16:47,0,0,0,-2,0,0,0,2,6228,9
Copp Andy,DET,Player,16:55,0,0,0,-1,0,0,1,1,4865,103
Berggren Jonatan,DET,Player,13:13,0,0,0,-1,0,0,0,2,6610,292
Hagg Robert,DET,Player,17:19,0,0,0,-1,0,0,0,2,2110,400
Kubalik Dominik,DET,Player,12:19,0,0,0,-1,0,0,1,0,6156,522
Perron David,DET,Player,17:22,0,0,0,-1,0,0,0,3,5165,543
Seider Moritz,DET,Player,19:32,0,0,0,-1,0,0,0,1,1948,645
Luff Matt,DET,Player,07:56,0,0,0,-1,0,0,1,1,5233,738
Czarnik  Austin,DET,Player,11:18,0,0,0,0,0,0,0,2,6079,1022
Maatta Olli,DET,Player,19:57,0,0,0,-2,0,0,0,4,2735,1899
Raymond Lucas,DET,Player,20:19,0,0,0,-1,0,0,0,3,6568,2364
Oesterle Jordan,DET,Player,22:37,0,0,0,0,0,0,0,2,3157,2845
Chiarot Ben,DET,Player,23:48,0,1,0,0,0,0,0,4,2315,3069
Larkin Dylan,DET,Player,16:24,0,0,2,-1,0,0,1,4,5774,3165
Fabbri Robby,DET,Player,16:14,0,1,0,0,0,0,2,1,5090,4016
Bertuzzi Tyler,DET,Player,18:20,0,0,0,-1,0,0,0,2,328,4304
Vrana Jakub,DET,Player,10:50,0,0,0,-1,0,0,0,1,6115,4338
Erne Adam,DET,Player,14:00,1,0,0,0,0,0,1,4,6139,4341
Husso Ville,DET,Goalie,59:50,-,0,0,-,4,0,26,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
