Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,22:58,0,0,0,2,0,0,1,2,1173,75
Eberle Jordan,SYR,Player,17:53,0,1,0,1,0,0,2,3,4475,229
Wennberg Alexander,SYR,Player,14:42,0,0,0,0,0,0,5,1,2515,302
Beniers Matty,SYR,Player,15:43,1,1,0,1,0,0,3,0,6617,430
Kuhlman Karson,SYR,Player,12:40,1,0,0,0,0,0,1,1,4123,564
Fleury Cale,SYR,Player,16:15,0,0,0,-1,0,0,0,0,2328,760
Tanev  Brandon,SYR,Player,15:59,1,1,0,1,0,0,1,1,6076,851
Burakovsky Andre,SYR,Player,14:45,1,1,0,3,0,0,1,0,2514,1343
Donato Ryan,SYR,Player,14:17,0,1,0,0,0,0,1,1,4120,2119
Soucy Carson,SYR,Player,20:24,0,0,0,3,0,0,0,3,1272,2122
Schwartz Jaden,SYR,Player,14:08,0,1,0,3,0,0,1,2,4358,2157
Schultz Justin,SYR,Player,17:06,0,0,0,0,0,0,0,3,1225,2180
Oleksiak Jamie,SYR,Player,20:47,0,1,0,3,0,0,0,3,1830,2316
Bjorkstrand Oliver,SYR,Player,16:48,0,0,0,0,0,0,0,1,2321,3595
Donskoi Joonas,SYR,Player,13:05,0,1,0,0,0,0,1,0,5758,3849
McCann Jared,SYR,Player,14:24,2,1,0,3,0,0,3,2,5577,4024
Gourde Yanni,SYR,Player,15:36,0,0,0,0,0,0,3,0,5000,4126
Dunn Vince,SYR,Player,22:30,0,1,0,1,0,0,1,0,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,2,0,14,-,4348,2437
Barzal Mathew,NYI,Player,18:05,0,0,0,-2,0,0,3,0,6065,296
Parise Zach,NYI,Player,15:23,0,0,0,0,0,0,0,0,3395,387
Palmieri Kyle,NYI,Player,20:26,1,0,0,-3,0,0,1,2,4569,498
Dobson Noah,NYI,Player,23:27,0,1,0,-3,0,0,0,2,2160,667
Martin Matt,NYI,Player,08:28,0,0,0,-1,0,0,1,1,5357,850
Mayfield Scott,NYI,Player,21:46,0,1,0,-1,0,0,0,1,6058,1148
Cizikas Casey,NYI,Player,09:23,0,0,0,-1,0,0,0,0,3210,1532
Romanov Alexander,NYI,Player,15:10,0,0,0,0,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,14:23,0,0,0,0,0,0,2,1,3269,1649
Nelson Brock,NYI,Player,16:08,0,0,0,-1,0,0,1,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,16:24,0,0,0,0,0,0,0,2,4952,1808
Lee Anders,NYI,Player,19:19,0,0,0,-2,0,0,0,3,2493,1895
Beauvillier Anthony,NYI,Player,16:50,0,0,0,-1,0,0,2,0,6066,2074
Hickey Thomas,NYI,Player,19:02,0,0,0,0,0,0,0,5,4517,2097
Wahlstrom Oliver,NYI,Player,16:31,1,0,0,0,0,0,2,1,5065,2234
Pelech Adam,NYI,Player,25:48,0,1,0,-4,0,0,2,3,5645,4007
Pulock Ryan,NYI,Player,14:47,0,0,0,0,0,0,0,0,2748,4152
Clutterbuck Cal,NYI,Player,08:40,0,0,0,-1,0,0,0,1,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,6,0,24,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
