Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,17:18,0,0,0,2,0,0,0,2,1173,75
Eberle Jordan,SYR,Player,13:27,1,1,0,2,0,0,2,0,4475,229
Wennberg Alexander,SYR,Player,14:36,1,0,0,1,0,0,3,1,2515,302
Beniers Matty,SYR,Player,11:38,0,1,0,2,0,0,3,1,6617,430
Kuhlman Karson,SYR,Player,12:40,0,0,0,0,0,0,1,0,4123,564
Fleury Cale,SYR,Player,18:44,0,0,0,1,0,0,0,3,2328,760
Tanev  Brandon,SYR,Player,14:12,1,0,0,2,0,0,3,2,6076,851
Burakovsky Andre,SYR,Player,18:32,1,0,0,0,0,0,2,0,2514,1343
Donato Ryan,SYR,Player,12:50,0,0,0,0,0,0,2,0,4120,2119
Soucy Carson,SYR,Player,22:29,0,1,0,0,0,0,0,2,1272,2122
Schwartz Jaden,SYR,Player,19:26,0,1,0,0,0,0,2,1,4358,2157
Schultz Justin,SYR,Player,18:03,0,1,0,1,0,0,0,1,1225,2180
Oleksiak Jamie,SYR,Player,23:58,0,0,0,0,0,0,0,2,1830,2316
Bjorkstrand Oliver,SYR,Player,14:13,0,1,0,1,0,0,1,1,2321,3595
Donskoi Joonas,SYR,Player,12:54,0,0,0,0,0,0,0,1,5758,3849
McCann Jared,SYR,Player,21:01,0,0,0,0,0,0,0,1,5577,4024
Gourde Yanni,SYR,Player,14:31,0,0,0,1,0,0,0,0,5000,4126
Dunn Vince,SYR,Player,19:28,0,1,0,2,0,0,0,3,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,60:00,-,0,0,-,1,0,22,-,4348,2437
Tkachuk Brady,OTT,Player,18:58,0,0,0,-2,0,0,7,3,4369,96
Chabot Thomas,OTT,Player,21:26,0,0,0,-2,0,0,0,5,6067,343
Batherson Drake,OTT,Player,16:08,0,0,0,-2,0,0,1,5,6270,452
Sanderson Jake,OTT,Player,21:08,0,1,0,1,0,0,0,3,6626,478
Formenton Alex,OTT,Player,18:52,0,0,0,1,0,0,6,2,5078,965
Joseph Mathieu,OTT,Player,20:30,0,0,0,1,0,0,2,3,6178,1208
Zub Artyom,OTT,Player,17:26,0,0,0,-2,0,0,0,3,5298,2138
Norris Josh,OTT,Player,21:22,1,0,0,1,0,0,2,2,6533,2238
Stutzle Tim,OTT,Player,18:32,0,0,0,-2,0,0,0,3,6534,2242
Holden Nick,OTT,Player,19:30,0,0,0,-2,0,0,1,6,4405,2309
Pinto Shane,OTT,Player,03:55,0,0,0,0,0,0,0,1,6587,2421
Zaitsev Nikita,OTT,Player,20:50,0,0,0,-2,0,0,0,0,2746,2442
Hamonic Travis,OTT,Player,19:40,0,0,0,1,0,0,0,3,5797,3535
DeBrincat Alex,OTT,Player,19:54,0,0,0,-2,0,0,0,1,331,3711
Motte Tyler,OTT,Player,16:37,0,0,0,-2,0,0,2,1,5938,3850
Watson Austin,OTT,Player,05:06,0,0,0,0,0,0,0,1,4657,3999
Giroux Claude,OTT,Player,17:44,0,0,0,-2,0,0,0,1,3923,4237
Brassard Derrick,OTT,Player,02:22,0,0,0,0,0,0,1,0,5278,4283
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,4,0,19,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
