Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Larsson Adam,SYR,Player,23:09,0,1,0,3,0,0,0,2,1173,75
Eberle Jordan,SYR,Player,13:27,1,1,0,3,0,0,2,2,4475,229
Wennberg Alexander,SYR,Player,10:32,0,0,0,0,0,0,3,1,2515,302
Beniers Matty,SYR,Player,16:16,2,2,0,4,0,0,6,0,6617,430
Kuhlman Karson,SYR,Player,13:39,0,0,0,-1,0,0,2,1,4123,564
Fleury Cale,SYR,Player,16:53,0,0,0,-1,0,0,0,0,2328,760
Tanev  Brandon,SYR,Player,12:48,0,2,0,2,0,0,2,2,6076,851
Burakovsky Andre,SYR,Player,17:47,0,1,2,0,0,0,2,3,2514,1343
Donato Ryan,SYR,Player,16:44,0,0,0,-1,0,0,4,3,4120,2119
Soucy Carson,SYR,Player,18:26,0,0,0,0,0,0,4,3,1272,2122
Schwartz Jaden,SYR,Player,15:15,0,1,0,0,0,0,4,2,4358,2157
Schultz Justin,SYR,Player,19:38,0,0,0,0,0,0,0,1,1225,2180
Oleksiak Jamie,SYR,Player,21:03,0,0,0,0,0,0,0,4,1830,2316
Bjorkstrand Oliver,SYR,Player,13:07,1,0,0,0,0,0,2,2,2321,3595
Donskoi Joonas,SYR,Player,13:31,0,0,0,-1,0,0,1,1,5758,3849
McCann Jared,SYR,Player,17:19,1,0,0,0,0,0,2,0,5577,4024
Gourde Yanni,SYR,Player,16:46,0,0,0,-1,0,0,0,1,5000,4126
Dunn Vince,SYR,Player,23:01,0,1,0,2,0,0,0,1,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,61:05,-,0,0,-,4,0,21,-,4348,2437
Karlsson Erik,SJ,Player,20:41,0,0,0,-3,0,0,0,1,4017,120
Simek Radim,SJ,Player,19:03,0,0,0,1,0,0,0,4,4584,142
Vlasic Marc-Edouard,SJ,Player,19:04,0,1,0,0,0,0,0,4,1790,545
Ferraro Mario,SJ,Player,22:53,0,0,0,-3,0,0,0,6,2422,937
Gregor Noah,SJ,Player,11:48,0,0,0,1,0,0,0,1,5027,941
Lindblom Oskar,SJ,Player,14:43,0,0,0,0,0,0,1,1,1217,1379
Sturm Nico,SJ,Player,13:33,0,1,0,0,0,0,1,1,3343,2110
Knyzhov Nikolai,SJ,Player,23:53,0,0,0,1,0,0,1,4,6517,2148
Barabanov Alexander,SJ,Player,19:28,0,0,0,-3,0,0,0,0,3181,2162
Lorentz Steven,SJ,Player,09:19,1,0,0,0,0,0,3,1,6523,2198
Dahlen Jonathan,SJ,Player,20:32,1,1,0,2,0,0,2,2,6591,2447
Weatherby Jasper,SJ,Player,12:22,1,0,0,0,0,0,3,1,6592,2451
Bonino Nick,SJ,Player,15:06,0,1,0,0,0,0,4,3,563,2862
Hertl Tomas,SJ,Player,18:14,0,0,0,-3,0,0,1,0,2290,2913
Couture Logan,SJ,Player,19:48,1,0,0,1,0,0,2,1,4370,3039
Benning Matt,SJ,Player,16:36,0,1,0,0,0,0,0,2,6097,4305
Meier Timo,SJ,Player,17:47,0,0,0,-2,0,0,3,1,6112,4332
Kunin Luke,SJ,Player,09:30,0,0,0,0,0,0,0,1,735,4448
Reimer James,SJ,Goalie,61:05,-,0,0,-,5,0,34,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
